Date,Listings,Sell Price,Buy Price
2024-12-11T01:15:57Z,73912,$0.52,$0.50
2024-12-11T12:47:15Z,75292,$0.50,$0.48
2024-12-11T13:38:59Z,75299,$0.50,$0.48
2024-12-11T13:38:59Z,75299,$0.50,$0.48
2024-12-11T13:39:24Z,75299,$0.50,$0.48
2024-12-11T13:39:58Z,75299,$0.50,$0.48
2024-12-11T13:40:04Z,75299,$0.50,$0.48
2024-12-11T13:46:56Z,75255,$0.49,$0.47
2024-12-11T13:46:59Z,75255,$0.49,$0.47
2024-12-11T13:47:43Z,75255,$0.49,$0.47
2024-12-11T13:50:04Z,75268,$0.49,$0.47
2024-12-11T13:50:04Z,75268,$0.49,$0.47
2024-12-11T13:52:56Z,75268,$0.49,$0.47
2024-12-11T13:53:01Z,75268,$0.49,$0.47
2024-12-11T13:53:49Z,75235,$0.49,$0.47
2024-12-11T13:54:08Z,75235,$0.49,$0.47
2024-12-11T13:56:20Z,75235,$0.49,$0.47
2024-12-11T14:36:06Z,74716,$0.51,$0.49
2024-12-11T14:36:06Z,74716,$0.51,$0.49
2024-12-11T14:39:03Z,74716,$0.51,$0.49
2024-12-11T14:39:04Z,74716,$0.51,$0.49
2024-12-11T14:43:24Z,74708,$0.51,$0.49
2024-12-11T14:43:24Z,74708,$0.51,$0.49
2024-12-11T14:48:52Z,74705,$0.50,$0.48
2024-12-11T14:48:53Z,74705,$0.50,$0.48
2024-12-11T14:58:41Z,74719,$0.50,$0.48
2024-12-11T14:58:41Z,74719,$0.50,$0.48
2024-12-11T16:10:56Z,74358,$0.53,$0.51
2024-12-11T16:10:56Z,74358,$0.53,$0.51
2024-12-11T20:10:58Z,75553,$0.49,$0.47
2024-12-11T20:10:59Z,75553,$0.49,$0.47
2024-12-12T00:11:01Z,75252,$0.49,$0.47
2024-12-12T00:11:01Z,75252,$0.49,$0.47
2024-12-12T04:11:03Z,74587,$0.52,$0.50
2024-12-12T04:11:03Z,74587,$0.52,$0.50
2024-12-12T08:11:04Z,74516,$0.53,$0.51
2024-12-12T08:11:04Z,74516,$0.53,$0.51
2024-12-12T12:11:07Z,75511,$0.48,$0.46
2024-12-12T12:11:07Z,75511,$0.48,$0.46
2024-12-12T16:11:09Z,75573,$0.51,$0.49
2024-12-12T16:11:09Z,75573,$0.51,$0.49
2024-12-12T18:10:18Z,75432,$0.50,$0.48
2024-12-12T18:10:46Z,75432,$0.50,$0.48
2024-12-12T22:10:20Z,75913,$0.49,$0.47
2024-12-12T22:10:48Z,75913,$0.49,$0.47
2024-12-13T02:10:22Z,74104,$0.48,$0.46
2024-12-13T02:10:49Z,74104,$0.48,$0.46
2024-12-13T06:10:24Z,73380,$0.51,$0.49
2024-12-13T06:10:51Z,73380,$0.51,$0.49
2024-12-13T10:10:26Z,72285,$0.50,$0.48
2024-12-13T10:10:52Z,72285,$0.50,$0.48
2024-12-13T14:10:29Z,72210,$0.52,$0.50
2024-12-13T14:10:53Z,72210,$0.52,$0.50
2024-12-13T18:10:32Z,72287,$0.51,$0.49
2024-12-13T18:10:55Z,72287,$0.51,$0.49
2024-12-13T18:49:41Z,72320,$0.50,$0.48
2024-12-13T18:49:43Z,72320,$0.50,$0.48
2024-12-14T02:49:49Z,69386,$0.52,$0.50
2024-12-14T02:49:49Z,69386,$0.52,$0.50
2024-12-14T06:49:51Z,69122,$0.52,$0.50
2024-12-14T06:49:51Z,69122,$0.52,$0.50
2024-12-14T10:49:53Z,71867,$0.50,$0.48
2024-12-14T10:49:53Z,71867,$0.50,$0.48
2024-12-14T14:49:56Z,72697,$0.51,$0.49
2024-12-14T14:49:56Z,72697,$0.51,$0.49
2024-12-14T18:49:58Z,72886,$0.51,$0.49
2024-12-14T18:49:58Z,72886,$0.51,$0.49
2024-12-14T22:50:00Z,74799,$0.49,$0.47
2024-12-14T22:50:00Z,74799,$0.49,$0.47
2024-12-15T02:50:02Z,72942,$0.51,$0.49
2024-12-15T02:50:02Z,72942,$0.51,$0.49
2024-12-15T06:50:04Z,70868,$0.52,$0.50
2024-12-15T10:50:06Z,71271,$0.51,$0.49
2024-12-15T10:50:07Z,71271,$0.51,$0.49
2024-12-15T13:32:29Z,70466,$0.49,$0.47
2024-12-15T13:32:30Z,70466,$0.49,$0.47
2024-12-15T13:55:53Z,70161,$0.49,$0.47
2024-12-15T13:55:56Z,70161,$0.49,$0.47
2024-12-15T17:55:59Z,69149,$0.50,$0.48
2024-12-15T17:55:59Z,69149,$0.50,$0.48
2024-12-15T21:56:01Z,67518,$0.49,$0.47
2024-12-15T21:56:01Z,67518,$0.49,$0.47
2024-12-16T01:56:03Z,64766,$0.53,$0.51
2024-12-16T01:56:03Z,64766,$0.53,$0.51
2024-12-16T05:56:05Z,64437,$0.50,$0.48
2024-12-16T05:56:05Z,64437,$0.50,$0.48
2024-12-16T09:56:07Z,64829,$0.52,$0.50
2024-12-16T09:56:07Z,64829,$0.52,$0.50
2024-12-16T13:56:10Z,67583,$0.52,$0.50
2024-12-16T13:56:10Z,67583,$0.52,$0.50
2024-12-16T17:56:12Z,67862,$0.48,$0.46
2024-12-16T17:56:12Z,67862,$0.48,$0.46
2024-12-16T21:56:14Z,67726,$0.49,$0.47
2024-12-16T21:56:14Z,67726,$0.49,$0.47
2024-12-17T01:56:16Z,68027,$0.50,$0.48
2024-12-17T01:56:16Z,68027,$0.50,$0.48
2024-12-17T02:14:53Z,67870,$0.51,$0.49
2024-12-17T02:14:53Z,67870,$0.51,$0.49
2024-12-17T02:14:54Z,67870,$0.51,$0.49
