Date,Listings,Sell Price,Buy Price
2024-12-11T01:15:57Z,31028,$0.65,$0.63
2024-12-11T12:47:15Z,31163,$0.63,$0.61
2024-12-11T13:38:59Z,31089,$0.63,$0.61
2024-12-11T13:38:59Z,31089,$0.63,$0.61
2024-12-11T13:39:24Z,31089,$0.63,$0.61
2024-12-11T13:39:58Z,31089,$0.63,$0.61
2024-12-11T13:40:04Z,31089,$0.63,$0.61
2024-12-11T13:46:56Z,31090,$0.63,$0.61
2024-12-11T13:46:59Z,31090,$0.63,$0.61
2024-12-11T13:47:43Z,31090,$0.63,$0.61
2024-12-11T13:50:04Z,31094,$0.62,$0.60
2024-12-11T13:50:04Z,31094,$0.62,$0.60
2024-12-11T13:52:56Z,31094,$0.62,$0.60
2024-12-11T13:53:01Z,31094,$0.62,$0.60
2024-12-11T13:53:49Z,31095,$0.63,$0.61
2024-12-11T13:54:08Z,31095,$0.63,$0.61
2024-12-11T13:56:20Z,31095,$0.63,$0.61
2024-12-11T14:36:06Z,31380,$0.64,$0.62
2024-12-11T14:36:06Z,31380,$0.64,$0.62
2024-12-11T14:39:03Z,31380,$0.64,$0.62
2024-12-11T14:39:04Z,31380,$0.64,$0.62
2024-12-11T14:43:24Z,31383,$0.63,$0.61
2024-12-11T14:43:24Z,31383,$0.63,$0.61
2024-12-11T14:48:52Z,31375,$0.64,$0.62
2024-12-11T14:48:53Z,31375,$0.64,$0.62
2024-12-11T14:58:41Z,31299,$0.65,$0.63
2024-12-11T14:58:41Z,31299,$0.65,$0.63
2024-12-11T16:10:56Z,31077,$0.65,$0.63
2024-12-11T16:10:56Z,31077,$0.65,$0.63
2024-12-11T20:10:58Z,31524,$0.66,$0.64
2024-12-11T20:10:59Z,31524,$0.66,$0.64
2024-12-12T00:11:01Z,30665,$0.66,$0.64
2024-12-12T00:11:01Z,30665,$0.66,$0.64
2024-12-12T04:11:03Z,30318,$0.62,$0.60
2024-12-12T04:11:03Z,30318,$0.62,$0.60
2024-12-12T08:11:04Z,30216,$0.65,$0.63
2024-12-12T08:11:04Z,30216,$0.65,$0.63
2024-12-12T12:11:07Z,30110,$0.66,$0.64
2024-12-12T12:11:07Z,30110,$0.66,$0.64
2024-12-12T16:11:09Z,30176,$0.66,$0.64
2024-12-12T16:11:09Z,30176,$0.66,$0.64
2024-12-12T18:10:18Z,29925,$0.66,$0.64
2024-12-12T18:10:18Z,29926,$0.66,$0.64
2024-12-12T18:10:46Z,29925,$0.66,$0.64
2024-12-12T18:10:46Z,29926,$0.66,$0.64
2024-12-12T22:10:20Z,29421,$0.66,$0.64
2024-12-12T22:10:48Z,29421,$0.66,$0.64
2024-12-13T02:10:22Z,29006,$0.69,$0.66
2024-12-13T02:10:49Z,29006,$0.69,$0.66
2024-12-13T02:10:49Z,29008,$0.69,$0.66
2024-12-13T06:10:24Z,29476,$0.69,$0.66
2024-12-13T06:10:51Z,29476,$0.69,$0.66
2024-12-13T10:10:26Z,29583,$0.65,$0.63
2024-12-13T10:10:52Z,29583,$0.65,$0.63
2024-12-13T14:10:29Z,29569,$0.64,$0.62
2024-12-13T14:10:53Z,29569,$0.64,$0.62
2024-12-13T18:10:32Z,30544,$0.61,$0.59
2024-12-13T18:10:55Z,30544,$0.61,$0.59
2024-12-13T18:49:41Z,31234,$0.65,$0.63
2024-12-13T18:49:43Z,31234,$0.65,$0.63
2024-12-13T22:49:47Z,31531,$0.62,$0.60
2024-12-13T22:49:47Z,31531,$0.62,$0.60
2024-12-14T02:49:49Z,31308,$0.64,$0.62
2024-12-14T02:49:49Z,31308,$0.64,$0.62
2024-12-14T06:49:51Z,30662,$0.64,$0.62
2024-12-14T06:49:51Z,30662,$0.64,$0.62
2024-12-14T10:49:53Z,30605,$0.66,$0.64
2024-12-14T10:49:53Z,30605,$0.66,$0.64
2024-12-14T14:49:56Z,31229,$0.66,$0.64
2024-12-14T14:49:56Z,31229,$0.66,$0.64
2024-12-14T18:49:58Z,31818,$0.66,$0.64
2024-12-14T18:49:58Z,31818,$0.66,$0.64
2024-12-14T22:50:00Z,30937,$0.69,$0.66
2024-12-14T22:50:00Z,30937,$0.69,$0.66
2024-12-15T02:50:02Z,31440,$0.66,$0.64
2024-12-15T02:50:02Z,31440,$0.66,$0.64
2024-12-15T06:50:04Z,31010,$0.66,$0.64
2024-12-15T06:50:04Z,31010,$0.66,$0.64
2024-12-15T10:50:06Z,31600,$0.66,$0.64
2024-12-15T10:50:07Z,31600,$0.66,$0.64
2024-12-15T13:32:29Z,31628,$0.66,$0.64
2024-12-15T13:32:30Z,31628,$0.66,$0.64
2024-12-15T13:55:56Z,32147,$0.66,$0.64
2024-12-15T13:55:53Z,32147,$0.66,$0.64
2024-12-15T17:55:59Z,33665,$0.65,$0.63
2024-12-15T17:55:59Z,33665,$0.65,$0.63
2024-12-16T01:56:03Z,34528,$0.65,$0.63
2024-12-16T01:56:03Z,34528,$0.65,$0.63
2024-12-16T05:56:05Z,34121,$0.65,$0.63
2024-12-16T05:56:05Z,34121,$0.65,$0.63
2024-12-16T09:56:07Z,34642,$0.65,$0.63
2024-12-16T09:56:07Z,34642,$0.65,$0.63
2024-12-16T09:56:07Z,34664,$0.65,$0.63
2024-12-16T13:56:10Z,35056,$0.65,$0.63
2024-12-16T13:56:10Z,35056,$0.65,$0.63
2024-12-16T17:56:12Z,35074,$0.65,$0.63
2024-12-16T17:56:12Z,35074,$0.65,$0.63
2024-12-16T21:56:14Z,35682,$0.66,$0.64
