Date,Listings,Sell Price,Buy Price
2024-12-11T01:15:57Z,317,$120.77,$115.52
2024-12-11T12:47:15Z,329,$119.99,$114.78
2024-12-11T13:38:59Z,331,$117.88,$112.76
2024-12-11T13:38:59Z,331,$117.88,$112.76
2024-12-11T13:39:24Z,331,$117.88,$112.76
2024-12-11T13:39:58Z,331,$117.88,$112.76
2024-12-11T13:40:04Z,331,$117.88,$112.76
2024-12-11T13:46:56Z,330,$118.61,$113.46
2024-12-11T13:46:59Z,330,$118.61,$113.46
2024-12-11T13:47:43Z,330,$118.61,$113.46
2024-12-11T13:50:04Z,328,$120.00,$114.79
2024-12-11T13:50:04Z,328,$120.00,$114.79
2024-12-11T13:52:56Z,328,$120.00,$114.79
2024-12-11T13:53:01Z,328,$120.00,$114.79
2024-12-11T13:53:49Z,330,$119.50,$114.31
2024-12-11T13:54:08Z,330,$119.50,$114.31
2024-12-11T13:56:20Z,330,$119.50,$114.31
2024-12-11T14:36:06Z,331,$119.50,$114.31
2024-12-11T14:36:06Z,331,$119.50,$114.31
2024-12-11T14:39:03Z,331,$119.50,$114.31
2024-12-11T14:39:04Z,331,$119.50,$114.31
2024-12-11T14:40:31Z,331,$119.50,$114.31
2024-12-11T14:43:24Z,331,$119.50,$114.31
2024-12-11T14:43:24Z,331,$119.50,$114.31
2024-12-11T14:43:24Z,331,$119.50,$114.31
2024-12-11T14:43:24Z,331,$119.50,$114.31
2024-12-11T14:48:52Z,331,$119.50,$114.31
2024-12-11T14:48:53Z,331,$119.50,$114.31
2024-12-11T14:58:41Z,330,$119.50,$114.31
2024-12-11T14:58:41Z,330,$119.50,$114.31
2024-12-11T16:10:56Z,336,$118.94,$113.77
2024-12-11T16:10:56Z,336,$118.94,$113.77
2024-12-11T20:10:58Z,344,$119.02,$113.85
2024-12-11T20:10:59Z,344,$119.02,$113.85
2024-12-12T00:11:01Z,337,$120.18,$114.96
2024-12-12T00:11:01Z,337,$120.18,$114.96
2024-12-12T04:11:03Z,324,$120.68,$115.44
2024-12-12T04:11:03Z,324,$120.68,$115.44
2024-12-12T08:11:04Z,322,$120.72,$115.48
2024-12-12T08:11:04Z,322,$120.72,$115.48
2024-12-12T12:11:07Z,319,$120.72,$115.48
2024-12-12T12:11:07Z,319,$120.72,$115.48
2024-12-12T16:11:09Z,321,$117.89,$112.77
2024-12-12T16:11:09Z,321,$117.89,$112.77
2024-12-12T18:10:18Z,326,$120.49,$115.26
2024-12-12T18:10:46Z,326,$120.49,$115.26
2024-12-12T22:10:20Z,326,$120.75,$115.50
2024-12-12T22:10:48Z,326,$120.75,$115.50
2024-12-13T02:10:22Z,341,$119.84,$114.63
2024-12-13T02:10:49Z,341,$119.84,$114.63
2024-12-13T06:10:24Z,343,$119.85,$114.64
2024-12-13T06:10:51Z,343,$119.85,$114.64
2024-12-13T10:10:26Z,330,$117.65,$112.54
2024-12-13T10:10:52Z,330,$117.65,$112.54
2024-12-13T14:10:29Z,333,$118.02,$112.89
2024-12-13T14:10:53Z,333,$118.02,$112.89
2024-12-13T18:10:32Z,337,$118.27,$113.13
2024-12-13T18:10:55Z,337,$118.27,$113.13
2024-12-13T18:49:41Z,339,$118.14,$113.01
2024-12-13T18:49:43Z,339,$118.14,$113.01
2024-12-13T22:49:47Z,333,$119.31,$114.13
2024-12-13T22:49:47Z,333,$119.31,$114.13
2024-12-14T02:49:49Z,334,$118.15,$113.02
2024-12-14T02:49:49Z,334,$118.15,$113.02
2024-12-14T06:49:51Z,316,$119.39,$114.20
2024-12-14T06:49:51Z,316,$119.39,$114.20
2024-12-14T10:49:53Z,320,$120.14,$114.92
2024-12-14T10:49:53Z,320,$120.14,$114.92
2024-12-14T14:49:56Z,317,$121.99,$116.69
2024-12-14T14:49:56Z,317,$121.99,$116.69
2024-12-14T18:49:58Z,325,$119.85,$114.64
2024-12-14T18:49:58Z,325,$119.85,$114.64
2024-12-14T22:50:00Z,323,$119.00,$113.83
2024-12-14T22:50:00Z,323,$119.00,$113.83
2024-12-15T02:50:02Z,310,$119.31,$114.13
2024-12-15T02:50:02Z,310,$119.31,$114.13
2024-12-15T06:50:04Z,303,$121.98,$116.68
2024-12-15T06:50:04Z,303,$121.98,$116.68
2024-12-15T10:50:06Z,303,$122.95,$117.61
2024-12-15T10:50:07Z,303,$122.95,$117.61
2024-12-15T13:32:29Z,320,$120.59,$115.35
2024-12-15T13:32:30Z,320,$120.59,$115.35
2024-12-15T13:55:53Z,319,$120.65,$115.41
2024-12-15T13:55:56Z,319,$120.65,$115.41
2024-12-15T17:55:59Z,319,$120.09,$114.87
2024-12-15T17:55:59Z,319,$120.09,$114.87
2024-12-15T21:56:01Z,314,$122.14,$116.83
2024-12-15T21:56:01Z,314,$122.14,$116.83
2024-12-16T01:56:03Z,318,$121.00,$115.74
2024-12-16T01:56:03Z,318,$121.00,$115.74
2024-12-16T05:56:05Z,315,$122.14,$116.83
2024-12-16T05:56:05Z,315,$122.14,$116.83
2024-12-16T09:56:07Z,301,$123.00,$117.66
2024-12-16T09:56:07Z,301,$123.00,$117.66
2024-12-16T13:56:10Z,286,$123.83,$118.45
2024-12-16T13:56:10Z,286,$123.83,$118.45
2024-12-16T17:56:12Z,285,$122.71,$117.38
2024-12-16T17:56:12Z,285,$122.71,$117.38
2024-12-16T21:56:14Z,285,$122.97,$117.63
2024-12-16T21:56:14Z,285,$122.97,$117.63
2024-12-17T01:56:16Z,285,$123.41,$118.05
2024-12-17T01:56:16Z,285,$123.41,$118.05
2024-12-17T02:20:48Z,285,$123.00,$117.66
2024-12-17T02:20:48Z,285,$123.00,$117.66
2024-12-17T02:20:59Z,285,$123.00,$117.66
2024-12-17T02:21:00Z,285,$123.00,$117.66
2024-12-17T02:28:18Z,285,$123.00,$117.66
2024-12-17T02:28:18Z,285,$123.00,$117.66
2024-12-17T06:28:20Z,280,$124.00,$118.61
2024-12-17T06:28:20Z,280,$124.00,$118.61
2024-12-17T10:28:22Z,283,$123.31,$117.95
2024-12-17T10:28:22Z,283,$123.31,$117.95
2024-12-17T14:28:24Z,288,$123.48,$118.12
2024-12-17T18:28:26Z,292,$120.00,$114.79
2024-12-17T18:28:27Z,292,$120.00,$114.79
2024-12-17T22:28:28Z,295,$119.00,$113.83
2024-12-17T22:28:28Z,295,$119.00,$113.83
2024-12-17T22:28:28Z,295,$119.00,$113.83
2024-12-18T02:28:32Z,294,$118.27,$113.13
2024-12-18T02:28:32Z,294,$118.27,$113.13
2024-12-18T06:28:34Z,298,$118.59,$113.44
2024-12-18T06:28:34Z,298,$118.59,$113.44
2024-12-18T10:28:36Z,301,$118.30,$113.16
2024-12-18T10:28:36Z,301,$118.30,$113.16
2024-12-18T14:28:39Z,299,$121.92,$116.62
2024-12-18T14:28:39Z,299,$121.92,$116.62
2024-12-18T18:28:42Z,311,$115.86,$110.83
2024-12-18T18:28:42Z,311,$115.86,$110.83
2024-12-18T22:28:44Z,306,$119.39,$114.20
2024-12-18T22:28:44Z,306,$119.39,$114.20
2024-12-19T02:28:46Z,314,$116.92,$111.84
2024-12-19T02:28:46Z,314,$116.92,$111.84
2024-12-19T06:28:47Z,313,$116.15,$111.10
2024-12-19T06:28:47Z,313,$116.15,$111.10
2024-12-19T10:28:49Z,318,$116.88,$111.80
2024-12-19T10:28:49Z,318,$116.88,$111.80
2024-12-19T14:28:52Z,317,$118.04,$112.91
2024-12-19T14:28:53Z,317,$118.04,$112.91
2024-12-19T18:28:54Z,331,$115.42,$110.41
2024-12-19T18:28:54Z,331,$115.42,$110.41
2024-12-19T22:28:56Z,330,$116.43,$111.37
2024-12-19T22:28:56Z,330,$116.43,$111.37
2024-12-20T06:35:53Z,326,$119.02,$113.85
2024-12-20T06:35:54Z,326,$119.02,$113.85
2024-12-20T10:35:55Z,328,$116.43,$111.37
2024-12-20T10:35:55Z,328,$116.43,$111.37
2024-12-20T14:36:00Z,316,$119.67,$114.47
2024-12-20T14:36:01Z,316,$119.67,$114.47
2024-12-20T14:38:46Z,316,$119.67,$114.47
2024-12-20T16:38:49Z,296,$122.52,$117.20
2024-12-20T18:36:03Z,297,$122.41,$117.09
2024-12-20T18:38:51Z,297,$122.41,$117.09
2024-12-20T19:42:00Z,298,$118.23,$113.09
2024-12-20T19:42:01Z,298,$118.23,$113.09
2024-12-20T19:46:39Z,297,$118.23,$113.09
2024-12-20T19:46:39Z,297,$118.23,$113.09
2024-12-20T21:46:42Z,297,$119.22,$114.04
2024-12-20T21:46:42Z,297,$119.22,$114.04
2024-12-20T23:46:45Z,294,$123.05,$117.70
2024-12-20T23:46:45Z,294,$123.05,$117.70
2024-12-21T01:46:46Z,286,$123.25,$117.90
2024-12-21T01:46:47Z,286,$123.25,$117.90
2024-12-21T03:46:48Z,285,$123.64,$118.27
2024-12-21T03:46:49Z,285,$123.64,$118.27
2024-12-21T05:46:51Z,277,$124.14,$118.75
2024-12-21T05:46:51Z,277,$124.14,$118.75
2024-12-21T07:46:52Z,269,$124.71,$119.29
2024-12-21T07:46:52Z,269,$124.71,$119.29
2024-12-21T09:46:55Z,271,$119.50,$114.31
2024-12-21T09:46:56Z,271,$119.50,$114.31
2024-12-21T11:46:58Z,278,$119.22,$114.04
2024-12-21T11:46:58Z,278,$119.22,$114.04
2024-12-21T13:47:00Z,281,$118.93,$113.76
2024-12-21T13:47:00Z,281,$118.93,$113.76
2024-12-21T15:47:02Z,270,$122.60,$117.27
2024-12-21T15:47:03Z,270,$122.60,$117.27
2024-12-21T17:47:05Z,262,$119.51,$114.32
2024-12-21T17:47:05Z,262,$119.51,$114.32
2024-12-21T19:47:08Z,268,$122.67,$117.34
2024-12-21T19:47:08Z,268,$122.67,$117.34
2024-12-21T21:47:10Z,267,$123.00,$117.66
2024-12-21T21:47:10Z,267,$123.00,$117.66
2024-12-21T23:47:12Z,264,$123.88,$118.50
2024-12-21T23:47:13Z,264,$123.88,$118.50
2024-12-22T03:47:16Z,258,$124.71,$119.29
2024-12-22T03:47:16Z,258,$124.71,$119.29
2024-12-22T05:47:18Z,258,$124.08,$118.69
2024-12-22T05:47:18Z,258,$124.08,$118.69
2024-12-22T07:47:20Z,257,$121.00,$115.74
2024-12-22T07:47:20Z,257,$121.00,$115.74
2024-12-22T09:47:22Z,257,$124.71,$119.29
2024-12-22T09:47:22Z,257,$124.71,$119.29
2024-12-22T11:47:25Z,252,$124.68,$119.26
2024-12-22T11:47:25Z,252,$124.68,$119.26
2024-12-22T13:47:29Z,256,$123.60,$118.23
2024-12-22T13:47:29Z,256,$123.60,$118.23
2024-12-22T15:47:35Z,259,$123.48,$118.12
2024-12-22T15:47:35Z,259,$123.48,$118.12
2024-12-22T17:47:38Z,248,$119.50,$114.31
2024-12-22T17:47:38Z,248,$119.50,$114.31
2024-12-22T19:47:42Z,250,$124.71,$119.29
2024-12-22T19:47:42Z,250,$124.71,$119.29
2024-12-22T21:47:44Z,252,$124.73,$119.31
2024-12-22T21:47:44Z,252,$124.73,$119.31
2024-12-22T23:47:46Z,259,$120.00,$114.79
2024-12-22T23:47:47Z,259,$120.00,$114.79
2024-12-23T01:47:49Z,250,$125.48,$120.03
2024-12-23T01:47:49Z,250,$125.48,$120.03
2024-12-23T03:47:51Z,237,$125.95,$120.48
2024-12-23T03:47:52Z,237,$125.95,$120.48
2024-12-23T05:47:53Z,223,$126.78,$121.27
2024-12-23T05:47:53Z,223,$126.78,$121.27
2024-12-23T07:47:55Z,227,$125.74,$120.28
2024-12-23T07:47:55Z,227,$125.74,$120.28
2024-12-23T09:47:57Z,232,$122.63,$117.30
2024-12-23T09:47:57Z,232,$122.63,$117.30
2024-12-23T11:47:59Z,235,$124.57,$119.16
2024-12-23T11:47:59Z,235,$124.57,$119.16
2024-12-23T13:48:09Z,237,$121.78,$116.49
2024-12-23T13:48:11Z,237,$121.78,$116.49
2024-12-23T15:11:11Z,233,$124.71,$119.29
2024-12-23T15:11:11Z,233,$124.71,$119.29
2024-12-23T17:11:19Z,231,$126.43,$120.94
2024-12-23T17:11:19Z,231,$126.43,$120.94
2024-12-23T19:11:25Z,210,$128.52,$122.94
2024-12-23T19:11:26Z,210,$128.52,$122.94
2024-12-23T21:11:29Z,211,$128.00,$122.44
2024-12-23T21:11:29Z,211,$128.00,$122.44
2024-12-23T23:11:32Z,210,$126.00,$120.53
2024-12-23T23:11:32Z,210,$126.00,$120.53
2024-12-24T01:11:35Z,205,$128.87,$123.27
2024-12-24T01:11:35Z,205,$128.87,$123.27
2024-12-24T03:11:39Z,200,$130.00,$124.35
2024-12-24T03:11:39Z,200,$130.00,$124.35
2024-12-24T05:11:42Z,198,$130.33,$124.67
2024-12-24T05:11:42Z,198,$130.33,$124.67
2024-12-24T07:11:46Z,197,$127.73,$122.18
2024-12-24T07:11:46Z,197,$127.73,$122.18
2024-12-24T09:11:49Z,199,$126.23,$120.75
2024-12-24T09:11:49Z,199,$126.23,$120.75
2024-12-24T11:11:52Z,199,$124.54,$119.13
2024-12-24T11:11:52Z,199,$124.54,$119.13
2024-12-24T13:11:55Z,201,$125.49,$120.04
2024-12-24T13:11:55Z,200,$126.22,$120.74
2024-12-24T15:11:58Z,204,$125.19,$119.75
2024-12-24T15:11:58Z,204,$125.19,$119.75
2024-12-24T17:12:01Z,203,$129.03,$123.42
2024-12-24T17:12:01Z,203,$129.03,$123.42
2024-12-24T19:12:06Z,206,$127.93,$122.37
2024-12-24T21:12:09Z,203,$130.01,$124.36
2024-12-24T21:12:09Z,203,$130.01,$124.36
