Date,Listings,Sell Price,Buy Price
2024-12-11T01:15:57Z,1194,$13.65,$13.06
2024-12-11T12:47:15Z,1209,$13.45,$12.87
2024-12-11T13:38:59Z,1208,$13.48,$12.90
2024-12-11T13:38:59Z,1208,$13.48,$12.90
2024-12-11T13:39:24Z,1208,$13.48,$12.90
2024-12-11T13:39:58Z,1208,$13.48,$12.90
2024-12-11T13:40:04Z,1208,$13.48,$12.90
2024-12-11T13:46:56Z,1208,$13.48,$12.90
2024-12-11T13:46:59Z,1208,$13.48,$12.90
2024-12-11T13:47:43Z,1208,$13.48,$12.90
2024-12-11T13:50:04Z,1208,$13.48,$12.90
2024-12-11T13:50:04Z,1208,$13.48,$12.90
2024-12-11T13:52:56Z,1208,$13.48,$12.90
2024-12-11T13:53:01Z,1208,$13.48,$12.90
2024-12-11T13:53:49Z,1208,$13.48,$12.90
2024-12-11T13:54:08Z,1208,$13.48,$12.90
2024-12-11T13:56:20Z,1208,$13.48,$12.90
2024-12-11T14:36:06Z,1214,$13.45,$12.87
2024-12-11T14:36:06Z,1214,$13.45,$12.87
2024-12-11T14:39:03Z,1214,$13.45,$12.87
2024-12-11T14:39:04Z,1214,$13.45,$12.87
2024-12-11T14:43:24Z,1215,$13.45,$12.87
2024-12-11T14:43:24Z,1215,$13.45,$12.87
2024-12-11T14:48:52Z,1214,$13.45,$12.87
2024-12-11T14:48:53Z,1214,$13.45,$12.87
2024-12-11T14:58:41Z,1215,$13.45,$12.87
2024-12-11T14:58:41Z,1215,$13.45,$12.87
2024-12-11T16:10:56Z,1213,$13.46,$12.88
2024-12-11T16:10:56Z,1213,$13.46,$12.88
2024-12-11T20:10:58Z,1217,$13.64,$13.05
2024-12-11T20:10:59Z,1217,$13.64,$13.05
2024-12-12T00:11:01Z,1179,$13.92,$13.32
2024-12-12T00:11:01Z,1179,$13.92,$13.32
2024-12-12T04:11:03Z,1176,$13.96,$13.36
2024-12-12T04:11:03Z,1176,$13.96,$13.36
2024-12-12T08:11:04Z,1184,$13.59,$13.00
2024-12-12T08:11:04Z,1184,$13.59,$13.00
2024-12-12T12:11:07Z,1195,$13.45,$12.87
2024-12-12T12:11:07Z,1195,$13.45,$12.87
2024-12-12T16:11:09Z,1206,$13.52,$12.94
2024-12-12T16:11:09Z,1206,$13.52,$12.94
2024-12-12T18:10:18Z,1215,$13.63,$13.04
2024-12-12T18:10:46Z,1215,$13.63,$13.04
2024-12-12T22:10:20Z,1217,$13.49,$12.91
2024-12-12T22:10:48Z,1217,$13.49,$12.91
2024-12-13T02:10:22Z,1210,$13.46,$12.88
2024-12-13T02:10:49Z,1210,$13.46,$12.88
2024-12-13T06:10:24Z,1217,$13.46,$12.88
2024-12-13T06:10:51Z,1217,$13.46,$12.88
2024-12-13T10:10:26Z,1216,$13.52,$12.94
2024-12-13T10:10:52Z,1216,$13.52,$12.94
2024-12-13T14:10:29Z,1202,$13.73,$13.14
2024-12-13T14:10:53Z,1202,$13.73,$13.14
2024-12-13T18:10:32Z,1196,$14.03,$13.42
2024-12-13T18:10:55Z,1196,$14.03,$13.42
2024-12-13T18:49:41Z,1199,$13.45,$12.87
2024-12-13T18:49:43Z,1199,$13.45,$12.87
2024-12-13T22:49:47Z,1172,$14.04,$13.43
2024-12-13T22:49:47Z,1172,$14.04,$13.43
2024-12-14T02:49:49Z,1167,$13.80,$13.20
2024-12-14T02:49:49Z,1167,$13.80,$13.20
2024-12-14T06:49:51Z,1166,$14.14,$13.53
2024-12-14T06:49:51Z,1166,$14.14,$13.53
2024-12-14T10:49:53Z,1180,$13.83,$13.23
2024-12-14T10:49:53Z,1180,$13.83,$13.23
2024-12-14T14:49:56Z,1190,$13.36,$12.78
2024-12-14T14:49:56Z,1190,$13.36,$12.78
2024-12-14T18:49:58Z,1193,$13.49,$12.91
2024-12-14T18:49:58Z,1193,$13.49,$12.91
2024-12-14T22:50:00Z,1178,$13.71,$13.12
2024-12-14T22:50:00Z,1178,$13.71,$13.12
2024-12-15T02:50:02Z,1162,$14.14,$13.53
2024-12-15T02:50:02Z,1162,$14.14,$13.53
2024-12-15T06:50:04Z,1166,$13.93,$13.33
2024-12-15T06:50:04Z,1166,$13.93,$13.33
2024-12-15T10:50:06Z,1177,$13.64,$13.05
2024-12-15T10:50:07Z,1177,$13.64,$13.05
2024-12-15T13:32:29Z,1192,$13.23,$12.66
2024-12-15T13:32:30Z,1192,$13.23,$12.66
2024-12-15T13:55:53Z,1188,$13.45,$12.87
2024-12-15T13:55:56Z,1188,$13.45,$12.87
2024-12-15T17:55:59Z,1205,$13.25,$12.68
2024-12-15T17:55:59Z,1205,$13.25,$12.68
2024-12-15T21:56:01Z,1226,$13.24,$12.67
2024-12-15T21:56:01Z,1226,$13.24,$12.67
2024-12-16T01:56:03Z,1235,$13.15,$12.58
2024-12-16T01:56:03Z,1235,$13.15,$12.58
2024-12-16T05:56:05Z,1220,$13.38,$12.80
2024-12-16T05:56:05Z,1220,$13.38,$12.80
2024-12-16T09:56:07Z,1226,$13.02,$12.46
2024-12-16T09:56:07Z,1226,$13.02,$12.46
2024-12-16T13:56:10Z,1236,$13.11,$12.54
2024-12-16T13:56:10Z,1236,$13.11,$12.54
2024-12-16T17:56:12Z,1211,$13.26,$12.69
2024-12-16T17:56:12Z,1211,$13.26,$12.69
2024-12-16T21:56:14Z,1222,$13.26,$12.69
2024-12-16T21:56:14Z,1222,$13.26,$12.69
2024-12-16T21:56:14Z,1222,$13.26,$12.69
2024-12-17T01:56:16Z,1222,$13.43,$12.85
2024-12-17T01:56:16Z,1222,$13.43,$12.85
2024-12-17T02:20:48Z,1222,$13.30,$12.73
