Date,Listings,Sell Price,Buy Price
2024-12-11T01:15:57Z,72549,$0.87,$0.84
2024-12-11T12:47:15Z,73194,$0.92,$0.88
2024-12-11T13:38:59Z,74161,$0.87,$0.84
2024-12-11T13:38:59Z,74161,$0.87,$0.84
2024-12-11T13:39:24Z,74161,$0.87,$0.84
2024-12-11T13:39:58Z,74161,$0.87,$0.84
2024-12-11T13:40:04Z,74161,$0.87,$0.84
2024-12-11T13:46:56Z,74615,$0.89,$0.86
2024-12-11T13:46:59Z,74615,$0.89,$0.86
2024-12-11T13:47:43Z,74615,$0.89,$0.86
2024-12-11T13:50:04Z,74750,$0.89,$0.86
2024-12-11T13:50:04Z,74750,$0.89,$0.86
2024-12-11T13:52:56Z,74750,$0.89,$0.86
2024-12-11T13:53:01Z,74750,$0.89,$0.86
2024-12-11T13:53:49Z,74719,$0.92,$0.88
2024-12-11T13:54:08Z,74719,$0.92,$0.88
2024-12-11T14:36:06Z,74971,$0.88,$0.85
2024-12-11T14:36:06Z,74971,$0.88,$0.85
2024-12-11T14:39:03Z,74971,$0.88,$0.85
2024-12-11T14:39:04Z,74971,$0.88,$0.85
2024-12-11T14:43:24Z,74972,$0.85,$0.82
2024-12-11T14:43:24Z,74972,$0.85,$0.82
2024-12-11T14:48:52Z,74965,$0.89,$0.86
2024-12-11T14:48:53Z,74965,$0.89,$0.86
2024-12-11T14:58:41Z,74935,$0.85,$0.82
2024-12-11T14:58:41Z,74935,$0.85,$0.82
2024-12-11T20:10:58Z,75267,$0.87,$0.84
2024-12-11T20:10:59Z,75267,$0.87,$0.84
2024-12-12T00:11:01Z,73895,$0.89,$0.86
2024-12-12T00:11:01Z,73895,$0.89,$0.86
2024-12-12T04:11:03Z,73763,$0.87,$0.84
2024-12-12T04:11:03Z,73763,$0.87,$0.84
2024-12-12T08:11:04Z,72986,$0.92,$0.88
2024-12-12T08:11:04Z,72986,$0.92,$0.88
2024-12-12T12:11:07Z,72712,$0.88,$0.85
2024-12-12T12:11:07Z,72712,$0.88,$0.85
2024-12-12T16:11:09Z,74801,$0.89,$0.86
2024-12-12T16:11:09Z,74801,$0.89,$0.86
2024-12-12T22:10:20Z,76589,$0.86,$0.83
2024-12-12T22:10:48Z,76589,$0.86,$0.83
2024-12-13T02:10:22Z,75686,$0.92,$0.88
2024-12-13T02:10:49Z,75686,$0.92,$0.88
2024-12-13T06:10:24Z,75440,$0.92,$0.88
2024-12-13T06:10:51Z,75440,$0.92,$0.88
2024-12-13T10:10:26Z,75582,$0.84,$0.81
2024-12-13T10:10:52Z,75582,$0.84,$0.81
2024-12-13T14:10:29Z,76159,$0.92,$0.88
2024-12-13T14:10:53Z,76159,$0.92,$0.88
2024-12-13T18:10:32Z,76733,$0.92,$0.88
2024-12-13T18:10:55Z,76733,$0.92,$0.88
2024-12-13T18:49:41Z,76907,$0.88,$0.85
2024-12-13T18:49:43Z,76907,$0.88,$0.85
2024-12-13T22:49:47Z,73735,$0.92,$0.88
2024-12-13T22:49:47Z,73730,$0.92,$0.88
2024-12-13T22:49:47Z,73735,$0.92,$0.88
2024-12-13T22:49:47Z,73730,$0.92,$0.88
2024-12-14T02:49:49Z,71891,$0.93,$0.89
2024-12-14T02:49:49Z,71891,$0.93,$0.89
2024-12-14T06:49:51Z,71561,$0.92,$0.88
2024-12-14T06:49:51Z,71561,$0.92,$0.88
2024-12-14T10:49:53Z,72158,$0.92,$0.88
2024-12-14T10:49:53Z,72158,$0.92,$0.88
2024-12-14T14:49:56Z,73359,$0.92,$0.88
2024-12-14T14:49:56Z,73359,$0.92,$0.88
2024-12-14T18:49:58Z,72867,$0.93,$0.89
2024-12-14T18:49:58Z,72867,$0.93,$0.89
2024-12-14T22:50:00Z,72934,$0.89,$0.86
2024-12-14T22:50:00Z,72934,$0.89,$0.86
2024-12-15T02:50:02Z,72257,$0.89,$0.86
2024-12-15T02:50:02Z,72257,$0.89,$0.86
2024-12-15T06:50:04Z,70345,$0.83,$0.80
2024-12-15T06:50:04Z,70344,$0.83,$0.80
2024-12-15T10:50:06Z,70500,$0.86,$0.83
2024-12-15T10:50:07Z,70500,$0.86,$0.83
2024-12-15T13:32:29Z,70856,$0.88,$0.85
2024-12-15T13:32:30Z,70856,$0.88,$0.85
2024-12-15T13:55:53Z,70943,$0.84,$0.81
2024-12-15T13:55:56Z,70943,$0.84,$0.81
2024-12-15T17:55:59Z,69632,$0.88,$0.85
2024-12-15T17:55:59Z,69632,$0.88,$0.85
2024-12-15T21:56:01Z,67977,$0.89,$0.86
2024-12-15T21:56:01Z,67977,$0.89,$0.86
2024-12-16T01:56:03Z,68176,$0.93,$0.89
2024-12-16T01:56:03Z,68176,$0.93,$0.89
2024-12-16T05:56:05Z,67678,$0.93,$0.89
2024-12-16T05:56:05Z,67678,$0.93,$0.89
