Date,Listings,Sell Price,Buy Price
2024-12-11T01:15:57Z,84894,$1.75,$1.68
2024-12-11T12:47:15Z,87807,$1.63,$1.56
2024-12-11T13:38:59Z,88955,$1.61,$1.54
2024-12-11T13:38:59Z,88955,$1.61,$1.54
2024-12-11T13:39:24Z,88955,$1.61,$1.54
2024-12-11T13:39:58Z,88955,$1.61,$1.54
2024-12-11T13:40:04Z,88955,$1.61,$1.54
2024-12-11T13:46:56Z,89143,$1.61,$1.54
2024-12-11T13:46:59Z,89143,$1.61,$1.54
2024-12-11T13:47:43Z,89143,$1.61,$1.54
2024-12-11T13:50:04Z,89198,$1.61,$1.54
2024-12-11T13:50:04Z,89198,$1.61,$1.54
2024-12-11T13:52:56Z,89198,$1.61,$1.54
2024-12-11T13:53:01Z,89198,$1.61,$1.54
2024-12-11T13:53:49Z,89243,$1.61,$1.54
2024-12-11T13:54:08Z,89243,$1.61,$1.54
2024-12-11T13:56:20Z,89243,$1.61,$1.54
2024-12-11T14:36:06Z,89734,$1.61,$1.54
2024-12-11T14:36:06Z,89734,$1.61,$1.54
2024-12-11T14:39:03Z,89734,$1.61,$1.54
2024-12-11T14:39:04Z,89734,$1.61,$1.54
2024-12-11T14:43:24Z,89875,$1.61,$1.54
2024-12-11T14:43:24Z,89875,$1.61,$1.54
2024-12-11T14:48:52Z,89929,$1.61,$1.54
2024-12-11T14:48:53Z,89929,$1.61,$1.54
2024-12-11T14:58:41Z,90100,$1.61,$1.54
2024-12-11T14:58:41Z,90100,$1.61,$1.54
2024-12-11T16:10:56Z,91829,$1.61,$1.54
2024-12-11T16:10:56Z,91829,$1.61,$1.54
2024-12-11T20:10:58Z,96442,$1.58,$1.52
2024-12-11T20:10:59Z,96442,$1.58,$1.52
2024-12-12T00:11:01Z,97515,$1.61,$1.54
2024-12-12T00:11:01Z,97515,$1.61,$1.54
2024-12-12T04:11:03Z,95802,$1.64,$1.57
2024-12-12T04:11:03Z,95805,$1.63,$1.56
2024-12-12T04:11:03Z,95802,$1.64,$1.57
2024-12-12T08:11:04Z,94146,$1.66,$1.59
2024-12-12T08:11:04Z,94146,$1.66,$1.59
2024-12-12T12:11:07Z,95057,$1.62,$1.55
2024-12-12T12:11:07Z,95057,$1.62,$1.55
2024-12-12T16:11:09Z,98175,$1.63,$1.56
2024-12-12T16:11:09Z,98175,$1.63,$1.56
2024-12-12T18:10:18Z,99779,$1.57,$1.51
2024-12-12T18:10:46Z,99779,$1.57,$1.51
2024-12-12T22:10:20Z,102310,$1.57,$1.51
2024-12-12T22:10:48Z,102310,$1.57,$1.51
2024-12-13T02:10:22Z,101935,$1.66,$1.59
2024-12-13T02:10:49Z,101935,$1.65,$1.58
2024-12-13T06:10:24Z,97906,$1.65,$1.58
2024-12-13T06:10:51Z,97906,$1.65,$1.58
2024-12-13T10:10:26Z,97882,$1.62,$1.55
2024-12-13T10:10:52Z,97882,$1.62,$1.55
2024-12-13T14:10:29Z,99248,$1.63,$1.56
2024-12-13T14:10:53Z,99248,$1.63,$1.56
2024-12-13T18:10:32Z,101649,$1.61,$1.54
2024-12-13T18:10:55Z,101649,$1.61,$1.54
2024-12-13T18:49:41Z,101556,$1.62,$1.55
2024-12-13T18:49:43Z,101556,$1.62,$1.55
2024-12-14T02:49:49Z,101571,$1.68,$1.61
2024-12-14T02:49:49Z,101571,$1.68,$1.61
2024-12-14T06:49:51Z,100216,$1.72,$1.65
2024-12-14T06:49:51Z,100216,$1.72,$1.65
2024-12-14T10:49:53Z,101105,$1.65,$1.58
2024-12-14T10:49:53Z,101105,$1.65,$1.58
2024-12-14T14:49:56Z,99921,$1.62,$1.55
2024-12-14T14:49:56Z,99921,$1.62,$1.55
2024-12-14T18:49:58Z,100645,$1.63,$1.56
2024-12-14T18:49:58Z,100645,$1.63,$1.56
2024-12-14T22:50:00Z,101933,$1.58,$1.52
2024-12-14T22:50:00Z,101933,$1.58,$1.52
2024-12-15T02:50:02Z,99839,$1.61,$1.54
2024-12-15T02:50:02Z,99839,$1.61,$1.54
2024-12-15T06:50:04Z,97079,$1.68,$1.61
2024-12-15T10:50:06Z,99522,$1.64,$1.57
2024-12-15T10:50:07Z,99522,$1.64,$1.57
2024-12-15T13:32:29Z,101431,$1.63,$1.56
2024-12-15T13:32:30Z,101431,$1.63,$1.56
2024-12-15T13:55:53Z,101433,$1.62,$1.55
2024-12-15T13:55:56Z,101433,$1.62,$1.55
2024-12-15T17:55:59Z,103254,$1.63,$1.56
2024-12-15T17:55:59Z,103254,$1.63,$1.56
2024-12-15T21:56:01Z,105910,$1.61,$1.54
2024-12-15T21:56:01Z,105910,$1.61,$1.54
2024-12-16T01:56:03Z,103939,$1.69,$1.62
2024-12-16T01:56:03Z,103939,$1.69,$1.62
2024-12-16T05:56:05Z,100418,$1.70,$1.63
2024-12-16T05:56:05Z,100418,$1.70,$1.63
2024-12-16T09:56:07Z,100114,$1.65,$1.58
2024-12-16T09:56:07Z,100114,$1.65,$1.58
2024-12-16T13:56:10Z,100405,$1.64,$1.57
2024-12-16T13:56:10Z,100405,$1.64,$1.57
2024-12-16T17:56:12Z,100152,$1.63,$1.56
2024-12-16T17:56:12Z,100152,$1.63,$1.56
2024-12-16T21:56:14Z,102065,$1.63,$1.56
2024-12-16T21:56:14Z,102065,$1.63,$1.56
2024-12-17T01:56:16Z,102774,$1.70,$1.63
2024-12-17T02:14:53Z,101672,$1.70,$1.63
2024-12-17T02:14:54Z,101672,$1.70,$1.63
2024-12-17T02:17:25Z,101672,$1.70,$1.63
2024-12-17T02:17:26Z,101672,$1.70,$1.63
