Date,Listings,Sell Price,Buy Price
2024-12-11T01:15:57Z,11722,$1.29,$1.24
2024-12-11T12:47:15Z,11829,$1.26,$1.21
2024-12-11T13:38:59Z,11943,$1.15,$1.10
2024-12-11T13:38:59Z,11943,$1.15,$1.10
2024-12-11T13:39:24Z,11943,$1.15,$1.10
2024-12-11T13:39:58Z,11943,$1.15,$1.10
2024-12-11T13:40:04Z,11943,$1.15,$1.10
2024-12-11T13:46:56Z,11925,$1.28,$1.23
2024-12-11T13:46:59Z,11925,$1.28,$1.23
2024-12-11T13:47:43Z,11925,$1.28,$1.23
2024-12-11T13:50:04Z,11923,$1.28,$1.23
2024-12-11T13:50:04Z,11923,$1.28,$1.23
2024-12-11T13:52:56Z,11923,$1.28,$1.23
2024-12-11T13:53:01Z,11923,$1.28,$1.23
2024-12-11T13:53:49Z,11923,$1.28,$1.23
2024-12-11T13:54:08Z,11923,$1.28,$1.23
2024-12-11T13:56:20Z,11923,$1.28,$1.23
2024-12-11T14:36:06Z,11898,$1.28,$1.23
2024-12-11T14:36:06Z,11898,$1.28,$1.23
2024-12-11T14:39:03Z,11898,$1.28,$1.23
2024-12-11T14:39:04Z,11898,$1.28,$1.23
2024-12-11T14:43:24Z,11884,$1.28,$1.23
2024-12-11T14:43:24Z,11884,$1.28,$1.23
2024-12-11T14:48:52Z,11885,$1.28,$1.23
2024-12-11T14:48:53Z,11885,$1.28,$1.23
2024-12-11T14:58:41Z,11889,$1.21,$1.16
2024-12-11T14:58:41Z,11889,$1.21,$1.16
2024-12-11T20:10:58Z,11743,$1.28,$1.23
2024-12-11T20:10:59Z,11743,$1.28,$1.23
2024-12-12T00:11:01Z,11612,$1.29,$1.24
2024-12-12T00:11:01Z,11612,$1.29,$1.24
2024-12-12T04:11:03Z,11483,$1.24,$1.19
2024-12-12T04:11:03Z,11484,$1.24,$1.19
2024-12-12T04:11:03Z,11483,$1.24,$1.19
2024-12-12T08:11:04Z,11355,$1.29,$1.24
2024-12-12T08:11:04Z,11355,$1.29,$1.24
2024-12-12T12:11:07Z,11464,$1.28,$1.23
2024-12-12T12:11:07Z,11464,$1.28,$1.23
2024-12-12T16:11:09Z,11454,$1.27,$1.22
2024-12-12T16:11:09Z,11454,$1.27,$1.22
2024-12-12T18:10:18Z,11410,$1.19,$1.14
2024-12-12T18:10:18Z,11410,$1.19,$1.14
2024-12-12T18:10:46Z,11410,$1.19,$1.14
2024-12-12T18:10:46Z,11410,$1.19,$1.14
2024-12-12T22:10:20Z,11213,$1.29,$1.24
2024-12-12T22:10:48Z,11213,$1.29,$1.24
2024-12-13T02:10:22Z,10937,$1.30,$1.25
2024-12-13T02:10:49Z,10937,$1.30,$1.25
2024-12-13T06:10:24Z,10896,$1.30,$1.25
2024-12-13T06:10:51Z,10896,$1.30,$1.25
2024-12-13T10:10:26Z,10845,$1.31,$1.26
2024-12-13T10:10:52Z,10845,$1.31,$1.26
2024-12-13T14:10:29Z,10840,$1.30,$1.25
2024-12-13T14:10:53Z,10840,$1.30,$1.25
2024-12-13T18:10:32Z,10999,$1.31,$1.26
2024-12-13T18:10:55Z,10999,$1.31,$1.26
2024-12-13T18:49:41Z,10910,$1.30,$1.25
2024-12-13T18:49:43Z,10910,$1.30,$1.25
2024-12-13T22:49:47Z,10933,$1.30,$1.25
2024-12-13T22:49:47Z,10933,$1.30,$1.25
2024-12-14T02:49:49Z,10649,$1.29,$1.24
2024-12-14T02:49:49Z,10649,$1.29,$1.24
2024-12-14T06:49:51Z,10243,$1.32,$1.27
