Date,Listings,Sell Price,Buy Price
2024-12-11T01:15:57Z,488720,$0.29,$0.28
2024-12-11T12:47:15Z,495832,$0.28,$0.27
2024-12-11T13:38:59Z,496982,$0.28,$0.27
2024-12-11T13:38:59Z,496982,$0.28,$0.27
2024-12-11T13:39:24Z,496982,$0.28,$0.27
2024-12-11T13:39:58Z,496982,$0.28,$0.27
2024-12-11T13:40:04Z,496982,$0.28,$0.27
2024-12-11T13:46:56Z,497390,$0.28,$0.27
2024-12-11T13:46:59Z,497390,$0.28,$0.27
2024-12-11T13:47:43Z,497390,$0.28,$0.27
2024-12-11T13:50:04Z,497447,$0.28,$0.27
2024-12-11T13:50:04Z,497447,$0.28,$0.27
2024-12-11T13:52:56Z,497447,$0.28,$0.27
2024-12-11T13:53:01Z,497447,$0.28,$0.27
2024-12-11T13:53:49Z,497444,$0.28,$0.27
2024-12-11T13:54:08Z,497444,$0.28,$0.27
2024-12-11T13:56:20Z,497444,$0.28,$0.27
2024-12-11T14:36:06Z,498068,$0.28,$0.27
2024-12-11T14:36:06Z,498068,$0.28,$0.27
2024-12-11T14:39:03Z,498068,$0.28,$0.27
2024-12-11T14:39:04Z,498068,$0.28,$0.27
2024-12-11T14:43:24Z,498336,$0.28,$0.27
2024-12-11T14:43:24Z,498336,$0.28,$0.27
2024-12-11T14:48:52Z,498393,$0.28,$0.27
2024-12-11T14:48:53Z,498393,$0.28,$0.27
2024-12-11T14:58:41Z,498619,$0.28,$0.27
2024-12-11T14:58:41Z,498619,$0.28,$0.27
2024-12-11T16:10:56Z,499642,$0.29,$0.28
2024-12-11T16:10:56Z,499642,$0.29,$0.28
2024-12-11T20:10:58Z,501274,$0.28,$0.27
2024-12-11T20:10:59Z,501274,$0.28,$0.27
2024-12-12T00:11:01Z,501014,$0.29,$0.28
2024-12-12T00:11:01Z,501014,$0.29,$0.28
2024-12-12T04:11:03Z,500510,$0.29,$0.28
2024-12-12T04:11:03Z,500510,$0.29,$0.28
2024-12-12T08:11:04Z,501812,$0.29,$0.28
2024-12-12T08:11:04Z,501812,$0.29,$0.28
2024-12-12T12:11:07Z,507500,$0.28,$0.27
2024-12-12T12:11:07Z,507500,$0.28,$0.27
2024-12-12T16:11:09Z,511590,$0.28,$0.27
2024-12-12T16:11:09Z,511590,$0.28,$0.27
2024-12-12T18:10:18Z,511541,$0.29,$0.28
2024-12-12T18:10:46Z,511541,$0.29,$0.28
2024-12-12T22:10:20Z,512863,$0.29,$0.28
2024-12-12T22:10:48Z,512863,$0.29,$0.28
2024-12-13T02:10:22Z,510851,$0.29,$0.28
2024-12-13T02:10:49Z,510851,$0.29,$0.28
2024-12-13T02:10:49Z,510852,$0.29,$0.28
2024-12-13T06:10:24Z,509373,$0.29,$0.28
2024-12-13T06:10:51Z,509373,$0.29,$0.28
2024-12-13T10:10:26Z,511936,$0.29,$0.28
2024-12-13T10:10:52Z,511936,$0.29,$0.28
2024-12-13T14:10:29Z,512105,$0.29,$0.28
2024-12-13T14:10:53Z,512105,$0.29,$0.28
2024-12-13T18:10:32Z,512979,$0.28,$0.27
2024-12-13T18:10:55Z,512979,$0.28,$0.27
2024-12-13T18:49:41Z,513394,$0.29,$0.28
2024-12-13T18:49:43Z,513394,$0.29,$0.28
2024-12-13T22:49:47Z,513518,$0.29,$0.28
2024-12-13T22:49:47Z,513518,$0.29,$0.28
2024-12-14T02:49:49Z,507764,$0.29,$0.28
2024-12-14T02:49:49Z,507764,$0.29,$0.28
2024-12-14T06:49:51Z,509605,$0.29,$0.28
2024-12-14T06:49:51Z,509605,$0.29,$0.28
2024-12-14T10:49:53Z,511640,$0.29,$0.28
2024-12-14T10:49:53Z,511640,$0.29,$0.28
2024-12-14T14:49:56Z,513125,$0.28,$0.27
2024-12-14T14:49:56Z,513125,$0.28,$0.27
2024-12-14T18:49:58Z,517348,$0.29,$0.28
2024-12-14T18:49:58Z,517348,$0.29,$0.28
2024-12-14T22:50:00Z,516498,$0.28,$0.27
2024-12-14T22:50:00Z,516498,$0.28,$0.27
2024-12-15T02:50:02Z,516523,$0.29,$0.28
2024-12-15T02:50:02Z,516523,$0.29,$0.28
2024-12-15T06:50:04Z,515010,$0.30,$0.29
2024-12-15T06:50:04Z,515051,$0.30,$0.29
2024-12-15T10:50:06Z,516766,$0.28,$0.27
2024-12-15T10:50:07Z,516766,$0.28,$0.27
2024-12-15T13:32:29Z,518184,$0.29,$0.28
2024-12-15T13:32:30Z,518184,$0.29,$0.28
2024-12-15T13:55:53Z,518489,$0.29,$0.28
2024-12-15T13:55:56Z,518489,$0.29,$0.28
2024-12-15T17:55:59Z,520358,$0.29,$0.28
2024-12-15T17:55:59Z,520358,$0.29,$0.28
2024-12-15T21:56:01Z,516843,$0.30,$0.29
2024-12-15T21:56:01Z,516843,$0.30,$0.29
2024-12-16T01:56:03Z,504074,$0.30,$0.29
2024-12-16T01:56:03Z,504074,$0.30,$0.29
2024-12-16T05:56:05Z,506975,$0.29,$0.28
2024-12-16T05:56:05Z,506975,$0.29,$0.28
2024-12-16T09:56:07Z,508376,$0.29,$0.28
2024-12-16T09:56:07Z,508376,$0.29,$0.28
2024-12-16T13:56:10Z,511938,$0.29,$0.28
2024-12-16T13:56:10Z,511938,$0.29,$0.28
2024-12-16T17:56:12Z,513628,$0.30,$0.29
2024-12-16T17:56:12Z,513628,$0.30,$0.29
2024-12-16T21:56:14Z,508184,$0.30,$0.29
2024-12-16T21:56:14Z,508184,$0.30,$0.29
2024-12-17T01:56:16Z,510492,$0.29,$0.28
2024-12-17T02:14:53Z,510435,$0.29,$0.28
2024-12-17T02:14:54Z,510435,$0.29,$0.28
2024-12-17T02:17:25Z,510435,$0.29,$0.28
2024-12-17T02:17:26Z,510435,$0.29,$0.28
2024-12-17T02:20:48Z,510364,$0.29,$0.28
2024-12-17T02:20:48Z,510364,$0.29,$0.28
2024-12-17T02:20:59Z,510364,$0.29,$0.28
2024-12-17T02:21:00Z,510364,$0.29,$0.28
2024-12-17T02:28:18Z,510255,$0.30,$0.29
2024-12-17T02:28:18Z,510255,$0.30,$0.29
2024-12-17T06:28:20Z,519163,$0.30,$0.29
2024-12-17T10:28:22Z,523486,$0.30,$0.29
2024-12-17T10:28:22Z,523486,$0.30,$0.29
2024-12-17T14:28:24Z,533269,$0.30,$0.29
2024-12-17T14:28:24Z,533268,$0.30,$0.29
2024-12-17T18:28:26Z,535712,$0.30,$0.29
2024-12-17T18:28:27Z,535712,$0.30,$0.29
2024-12-17T22:28:28Z,535548,$0.29,$0.28
2024-12-17T22:28:28Z,535548,$0.29,$0.28
2024-12-18T02:28:32Z,531120,$0.30,$0.29
2024-12-18T02:28:32Z,531120,$0.30,$0.29
2024-12-18T10:28:36Z,533751,$0.29,$0.28
2024-12-18T10:28:36Z,533751,$0.29,$0.28
2024-12-18T14:28:39Z,541190,$0.28,$0.27
2024-12-18T14:28:39Z,541185,$0.28,$0.27
2024-12-18T18:28:42Z,545573,$0.28,$0.27
2024-12-18T18:28:42Z,545571,$0.28,$0.27
2024-12-18T22:28:44Z,542976,$0.28,$0.27
