Date,Listings,Sell Price,Buy Price
2024-12-11T01:15:57Z,15967,$3.06,$2.93
2024-12-11T12:47:15Z,15042,$3.05,$2.92
2024-12-11T13:38:59Z,14998,$3.06,$2.93
2024-12-11T13:38:59Z,14998,$3.06,$2.93
2024-12-11T13:39:24Z,14998,$3.06,$2.93
2024-12-11T13:39:58Z,14998,$3.06,$2.93
2024-12-11T13:40:04Z,14998,$3.06,$2.93
2024-12-11T13:46:56Z,14995,$3.06,$2.93
2024-12-11T13:46:59Z,14995,$3.06,$2.93
2024-12-11T13:47:43Z,14995,$3.06,$2.93
2024-12-11T13:50:04Z,15000,$3.05,$2.92
2024-12-11T13:50:04Z,15000,$3.05,$2.92
2024-12-11T13:52:56Z,15000,$3.05,$2.92
2024-12-11T13:53:01Z,15000,$3.05,$2.92
2024-12-11T13:53:49Z,15168,$3.05,$2.92
2024-12-11T13:54:08Z,15168,$3.05,$2.92
2024-12-11T14:36:06Z,15136,$3.10,$2.97
2024-12-11T14:36:06Z,15136,$3.10,$2.97
2024-12-11T14:39:03Z,15136,$3.10,$2.97
2024-12-11T14:39:04Z,15136,$3.10,$2.97
2024-12-11T14:43:24Z,15145,$3.10,$2.97
2024-12-11T14:43:24Z,15145,$3.10,$2.97
2024-12-11T14:48:52Z,15150,$3.07,$2.94
2024-12-11T14:48:53Z,15150,$3.07,$2.94
2024-12-11T14:58:41Z,15140,$3.08,$2.95
2024-12-11T14:58:41Z,15140,$3.08,$2.95
2024-12-11T16:10:56Z,15161,$3.05,$2.92
2024-12-11T16:10:56Z,15161,$3.05,$2.92
2024-12-11T20:10:58Z,15196,$3.08,$2.95
2024-12-11T20:10:59Z,15196,$3.08,$2.95
2024-12-12T00:11:01Z,14582,$3.10,$2.97
2024-12-12T00:11:01Z,14582,$3.10,$2.97
2024-12-12T04:11:03Z,13940,$3.14,$3.01
2024-12-12T04:11:03Z,13940,$3.14,$3.01
2024-12-12T08:11:04Z,14351,$3.12,$2.99
2024-12-12T08:11:04Z,14351,$3.12,$2.99
2024-12-12T12:11:07Z,13944,$3.06,$2.93
2024-12-12T12:11:07Z,13944,$3.06,$2.93
2024-12-12T16:11:09Z,13987,$3.13,$3.00
2024-12-12T16:11:09Z,13987,$3.13,$3.00
2024-12-12T18:10:18Z,14018,$3.11,$2.98
