Date,Listings,Sell Price,Buy Price
2024-12-11T01:15:57Z,12507,$2.99,$2.86
2024-12-11T12:47:15Z,12084,$3.10,$2.97
2024-12-11T13:38:59Z,12112,$3.02,$2.89
2024-12-11T13:38:59Z,12112,$3.02,$2.89
2024-12-11T13:39:24Z,12112,$3.02,$2.89
2024-12-11T13:39:58Z,12112,$3.02,$2.89
2024-12-11T13:40:04Z,12112,$3.02,$2.89
2024-12-11T13:46:56Z,12100,$3.02,$2.89
2024-12-11T13:46:59Z,12100,$3.02,$2.89
2024-12-11T13:47:43Z,12100,$3.02,$2.89
2024-12-11T13:50:04Z,12102,$3.02,$2.89
2024-12-11T13:50:04Z,12102,$3.02,$2.89
2024-12-11T13:52:56Z,12102,$3.02,$2.89
2024-12-11T13:53:01Z,12102,$3.02,$2.89
2024-12-11T13:53:49Z,12096,$3.03,$2.90
2024-12-11T13:54:08Z,12096,$3.03,$2.90
2024-12-11T14:36:06Z,12091,$3.10,$2.97
2024-12-11T14:36:06Z,12091,$3.10,$2.97
2024-12-11T14:39:03Z,12091,$3.10,$2.97
2024-12-11T14:39:04Z,12091,$3.10,$2.97
2024-12-11T14:43:24Z,12092,$3.10,$2.97
2024-12-11T14:43:24Z,12092,$3.10,$2.97
2024-12-11T14:48:52Z,12095,$3.12,$2.99
2024-12-11T14:48:53Z,12095,$3.12,$2.99
2024-12-11T14:58:41Z,12091,$3.10,$2.97
2024-12-11T14:58:41Z,12091,$3.10,$2.97
2024-12-11T16:10:56Z,12095,$3.00,$2.87
2024-12-11T16:10:56Z,12095,$3.00,$2.87
2024-12-11T20:10:58Z,12012,$3.03,$2.90
2024-12-11T20:10:59Z,12012,$3.03,$2.90
2024-12-12T00:11:01Z,12364,$3.02,$2.89
2024-12-12T00:11:01Z,12364,$3.02,$2.89
2024-12-12T04:11:03Z,12358,$3.01,$2.88
2024-12-12T04:11:03Z,12358,$3.01,$2.88
2024-12-12T08:11:04Z,11703,$3.14,$3.01
2024-12-12T08:11:04Z,11703,$3.14,$3.01
