Date,Listings,Sell Price,Buy Price
2024-12-11T01:15:57Z,8017,$8.36,$8.00
2024-12-11T12:47:15Z,8380,$8.33,$7.97
2024-12-11T13:38:59Z,8046,$8.18,$7.83
2024-12-11T13:38:59Z,8046,$8.18,$7.83
2024-12-11T13:39:24Z,8046,$8.18,$7.83
2024-12-11T13:39:58Z,8046,$8.18,$7.83
2024-12-11T13:40:04Z,8046,$8.18,$7.83
2024-12-11T13:46:56Z,8041,$8.18,$7.83
2024-12-11T13:46:59Z,8041,$8.18,$7.83
2024-12-11T13:47:43Z,8041,$8.18,$7.83
2024-12-11T13:50:04Z,8043,$8.18,$7.83
2024-12-11T13:50:04Z,8043,$8.18,$7.83
2024-12-11T13:52:56Z,8043,$8.18,$7.83
2024-12-11T13:53:01Z,8043,$8.18,$7.83
2024-12-11T13:53:49Z,8045,$8.18,$7.83
2024-12-11T13:54:08Z,8045,$8.18,$7.83
2024-12-11T13:56:20Z,8045,$8.18,$7.83
2024-12-11T14:36:06Z,7997,$8.18,$7.83
2024-12-11T14:36:06Z,7997,$8.18,$7.83
2024-12-11T14:39:03Z,7997,$8.18,$7.83
2024-12-11T14:39:04Z,7997,$8.18,$7.83
2024-12-11T14:43:24Z,7958,$8.34,$7.98
2024-12-11T14:43:24Z,7958,$8.34,$7.98
2024-12-11T14:48:52Z,7971,$8.31,$7.95
2024-12-11T14:48:53Z,7971,$8.31,$7.95
2024-12-11T14:58:41Z,7959,$8.32,$7.96
2024-12-11T14:58:41Z,7959,$8.32,$7.96
2024-12-11T16:10:56Z,7976,$8.21,$7.86
2024-12-11T16:10:56Z,7976,$8.21,$7.86
2024-12-11T16:10:56Z,7976,$8.21,$7.86
2024-12-11T16:10:56Z,7976,$8.21,$7.86
2024-12-11T20:10:58Z,8301,$8.18,$7.83
2024-12-11T20:10:59Z,8301,$8.18,$7.83
2024-12-12T00:11:01Z,8307,$8.19,$7.84
2024-12-12T00:11:01Z,8307,$8.19,$7.84
2024-12-12T04:11:03Z,7835,$8.58,$8.21
2024-12-12T04:11:03Z,7835,$8.58,$8.21
2024-12-12T08:11:04Z,7792,$8.39,$8.03
2024-12-12T08:11:04Z,7792,$8.39,$8.03
2024-12-12T12:11:07Z,7928,$8.23,$7.88
2024-12-12T12:11:07Z,7928,$8.23,$7.88
2024-12-12T16:11:09Z,7920,$8.29,$7.93
2024-12-12T16:11:09Z,7920,$8.29,$7.93
2024-12-12T18:10:18Z,7809,$8.56,$8.19
2024-12-12T18:10:46Z,7809,$8.56,$8.19
2024-12-12T22:10:20Z,7914,$8.39,$8.03
2024-12-12T22:10:48Z,7914,$8.39,$8.03
2024-12-13T02:10:22Z,7926,$8.52,$8.15
2024-12-13T02:10:49Z,7926,$8.52,$8.15
2024-12-13T06:10:24Z,8062,$8.40,$8.04
2024-12-13T06:10:51Z,8062,$8.40,$8.04
2024-12-13T10:10:26Z,7626,$8.42,$8.06
2024-12-13T10:10:52Z,7626,$8.42,$8.06
2024-12-13T14:10:29Z,7656,$8.30,$7.94
2024-12-13T14:10:53Z,7656,$8.30,$7.94
2024-12-13T18:10:32Z,7712,$8.39,$8.03
2024-12-13T18:10:55Z,7712,$8.39,$8.03
