Date,Listings,Sell Price,Buy Price
2024-12-11T01:15:57Z,17761,$1.20,$1.15
2024-12-11T12:47:15Z,16452,$1.18,$1.13
2024-12-11T13:38:59Z,16428,$1.11,$1.07
2024-12-11T13:38:59Z,16428,$1.11,$1.07
2024-12-11T13:39:24Z,16428,$1.11,$1.07
2024-12-11T13:39:58Z,16428,$1.11,$1.07
2024-12-11T13:40:04Z,16428,$1.11,$1.07
2024-12-11T13:46:56Z,16437,$1.10,$1.06
2024-12-11T13:46:59Z,16437,$1.10,$1.06
2024-12-11T13:47:43Z,16437,$1.10,$1.06
2024-12-11T13:50:04Z,16437,$1.10,$1.06
2024-12-11T13:50:04Z,16437,$1.10,$1.06
2024-12-11T13:52:56Z,16437,$1.10,$1.06
2024-12-11T13:53:01Z,16437,$1.10,$1.06
2024-12-11T13:53:49Z,16436,$1.11,$1.07
2024-12-11T13:54:08Z,16436,$1.11,$1.07
2024-12-11T14:36:06Z,16455,$1.19,$1.14
2024-12-11T14:36:06Z,16455,$1.19,$1.14
2024-12-11T14:39:03Z,16455,$1.19,$1.14
2024-12-11T14:39:04Z,16455,$1.19,$1.14
2024-12-11T14:43:24Z,16518,$1.20,$1.15
2024-12-11T14:43:24Z,16518,$1.20,$1.15
2024-12-11T14:48:52Z,16540,$1.20,$1.15
2024-12-11T14:48:53Z,16540,$1.20,$1.15
2024-12-11T14:58:41Z,16580,$1.17,$1.12
2024-12-11T14:58:41Z,16580,$1.17,$1.12
2024-12-11T16:10:56Z,16659,$1.10,$1.06
2024-12-11T16:10:56Z,16659,$1.10,$1.06
2024-12-11T20:10:58Z,17279,$1.18,$1.13
2024-12-11T20:10:59Z,17279,$1.18,$1.13
2024-12-12T00:11:01Z,17031,$1.16,$1.11
2024-12-12T00:11:01Z,17031,$1.16,$1.11
2024-12-12T04:11:03Z,16213,$1.19,$1.14
2024-12-12T04:11:03Z,16213,$1.19,$1.14
2024-12-12T08:11:04Z,15922,$1.15,$1.10
2024-12-12T08:11:04Z,15922,$1.15,$1.10
2024-12-12T12:11:07Z,16284,$1.19,$1.14
2024-12-12T12:11:07Z,16284,$1.19,$1.14
2024-12-12T16:11:09Z,16975,$1.18,$1.13
2024-12-12T16:11:09Z,16975,$1.18,$1.13
2024-12-12T18:10:18Z,16697,$1.19,$1.14
2024-12-12T18:10:46Z,16697,$1.19,$1.14
2024-12-12T22:10:20Z,16910,$1.15,$1.10
2024-12-12T22:10:48Z,16910,$1.15,$1.10
2024-12-13T02:10:22Z,15921,$1.18,$1.13
2024-12-13T02:10:49Z,15921,$1.18,$1.13
2024-12-13T06:10:24Z,15411,$1.20,$1.15
2024-12-13T06:10:51Z,15411,$1.20,$1.15
2024-12-13T10:10:26Z,14873,$1.20,$1.15
2024-12-13T10:10:52Z,14873,$1.20,$1.15
2024-12-13T14:10:29Z,15185,$1.17,$1.12
2024-12-13T14:10:53Z,15185,$1.17,$1.12
2024-12-13T18:10:32Z,15672,$1.18,$1.13
2024-12-13T18:10:55Z,15672,$1.18,$1.13
2024-12-13T18:49:41Z,15762,$1.18,$1.13
2024-12-13T18:49:43Z,15762,$1.18,$1.13
2024-12-13T22:49:47Z,15296,$1.17,$1.12
2024-12-13T22:49:47Z,15296,$1.17,$1.12
2024-12-14T02:49:49Z,14239,$1.20,$1.15
2024-12-14T02:49:49Z,14239,$1.20,$1.15
2024-12-14T06:49:51Z,13665,$1.20,$1.15
2024-12-14T06:49:51Z,13665,$1.20,$1.15
2024-12-14T10:49:53Z,13527,$1.19,$1.14
2024-12-14T10:49:53Z,13527,$1.19,$1.14
2024-12-14T14:49:56Z,13427,$1.10,$1.06
2024-12-14T14:49:56Z,13427,$1.10,$1.06
2024-12-14T18:49:58Z,13214,$1.20,$1.15
2024-12-14T18:49:58Z,13214,$1.20,$1.15
2024-12-14T22:50:00Z,12547,$1.22,$1.17
2024-12-14T22:50:00Z,12547,$1.22,$1.17
2024-12-15T02:50:02Z,12287,$1.22,$1.17
2024-12-15T02:50:02Z,12287,$1.22,$1.17
2024-12-15T06:50:04Z,11089,$1.18,$1.13
2024-12-15T06:50:04Z,11086,$1.18,$1.13
2024-12-15T10:50:06Z,11124,$1.22,$1.17
2024-12-15T10:50:07Z,11124,$1.22,$1.17
2024-12-15T13:55:53Z,11426,$1.23,$1.18
2024-12-15T13:55:56Z,11426,$1.23,$1.18
2024-12-15T17:55:59Z,11964,$1.11,$1.07
2024-12-15T17:55:59Z,11964,$1.11,$1.07
2024-12-15T21:56:01Z,12484,$1.22,$1.17
2024-12-15T21:56:01Z,12484,$1.22,$1.17
2024-12-16T01:56:03Z,12211,$1.22,$1.17
2024-12-16T01:56:03Z,12211,$1.22,$1.17
2024-12-16T05:56:05Z,11957,$1.18,$1.13
2024-12-16T05:56:05Z,11957,$1.18,$1.13
2024-12-16T09:56:07Z,11974,$1.17,$1.12
2024-12-16T09:56:07Z,11974,$1.17,$1.12
2024-12-16T13:56:10Z,13314,$1.18,$1.13
2024-12-16T13:56:10Z,13314,$1.18,$1.13
2024-12-16T17:56:12Z,14797,$1.21,$1.16
2024-12-16T17:56:12Z,14797,$1.21,$1.16
2024-12-16T21:56:14Z,14062,$1.22,$1.17
2024-12-16T21:56:14Z,14062,$1.22,$1.17
2024-12-17T01:56:16Z,12963,$1.23,$1.18
2024-12-17T01:56:16Z,12963,$1.23,$1.18
2024-12-17T01:56:16Z,12963,$1.23,$1.18
2024-12-17T02:14:53Z,13002,$1.22,$1.17
2024-12-17T02:14:54Z,13002,$1.22,$1.17
2024-12-17T02:17:25Z,13002,$1.22,$1.17
2024-12-17T02:17:26Z,13002,$1.22,$1.17
2024-12-17T02:20:48Z,13011,$1.22,$1.17
2024-12-17T02:20:48Z,13011,$1.22,$1.17
2024-12-17T02:20:59Z,13011,$1.22,$1.17
2024-12-17T02:21:00Z,13011,$1.22,$1.17
2024-12-17T02:28:18Z,12989,$1.22,$1.17
2024-12-17T02:28:18Z,12989,$1.22,$1.17
2024-12-17T06:28:20Z,12289,$1.24,$1.19
2024-12-17T06:28:20Z,12289,$1.24,$1.19
2024-12-17T10:28:22Z,12891,$1.20,$1.15
2024-12-17T10:28:22Z,12891,$1.20,$1.15
2024-12-17T10:28:22Z,12891,$1.20,$1.15
2024-12-17T14:28:24Z,13503,$1.23,$1.18
2024-12-17T14:28:24Z,13503,$1.23,$1.18
2024-12-17T18:28:26Z,13020,$1.23,$1.18
2024-12-17T18:28:27Z,13020,$1.23,$1.18
2024-12-17T22:28:28Z,13813,$1.24,$1.19
2024-12-17T22:28:28Z,13813,$1.24,$1.19
2024-12-17T22:28:28Z,13813,$1.24,$1.19
2024-12-18T02:28:32Z,12922,$1.24,$1.19
2024-12-18T06:28:34Z,11618,$1.26,$1.21
2024-12-18T06:28:34Z,11618,$1.26,$1.21
2024-12-18T10:28:36Z,11772,$1.19,$1.14
2024-12-18T10:28:36Z,11772,$1.19,$1.14
2024-12-18T14:28:39Z,11790,$1.24,$1.19
2024-12-18T14:28:39Z,11789,$1.24,$1.19
2024-12-18T14:28:39Z,11790,$1.24,$1.19
2024-12-18T18:28:42Z,11946,$1.23,$1.18
2024-12-18T18:28:42Z,11945,$1.23,$1.18
2024-12-18T22:28:44Z,11737,$1.23,$1.18
2024-12-18T22:28:44Z,11737,$1.23,$1.18
2024-12-19T02:28:46Z,11316,$1.26,$1.21
2024-12-19T02:28:46Z,11316,$1.26,$1.21
2024-12-19T06:28:47Z,10659,$1.26,$1.21
2024-12-19T06:28:47Z,10659,$1.26,$1.21
2024-12-19T10:28:49Z,10806,$1.18,$1.13
2024-12-19T10:28:49Z,10806,$1.18,$1.13
2024-12-19T14:28:52Z,10966,$1.19,$1.14
2024-12-19T14:28:52Z,10966,$1.19,$1.14
2024-12-19T14:28:53Z,10966,$1.19,$1.14
2024-12-19T18:28:54Z,10798,$1.24,$1.19
2024-12-19T18:28:54Z,10798,$1.24,$1.19
2024-12-19T22:28:56Z,10860,$1.19,$1.14
2024-12-19T22:28:56Z,10860,$1.19,$1.14
2024-12-20T06:35:54Z,10389,$1.15,$1.10
2024-12-20T06:35:53Z,10389,$1.15,$1.10
2024-12-20T10:35:55Z,10667,$1.20,$1.15
2024-12-20T10:35:55Z,10667,$1.20,$1.15
2024-12-20T14:36:00Z,11608,$1.23,$1.18
2024-12-20T14:36:00Z,11608,$1.23,$1.18
2024-12-20T14:36:01Z,11608,$1.23,$1.18
2024-12-20T14:36:01Z,11608,$1.23,$1.18
2024-12-20T14:38:46Z,11608,$1.23,$1.18
2024-12-20T14:38:46Z,11608,$1.23,$1.18
2024-12-20T16:38:49Z,11187,$1.24,$1.19
2024-12-20T18:36:03Z,10877,$1.24,$1.19
2024-12-20T18:38:51Z,10877,$1.24,$1.19
2024-12-20T19:42:00Z,10591,$1.26,$1.21
2024-12-20T19:42:01Z,10591,$1.26,$1.21
2024-12-20T19:46:39Z,10606,$1.23,$1.18
2024-12-20T19:46:39Z,10606,$1.23,$1.18
2024-12-20T21:46:42Z,10217,$1.27,$1.22
2024-12-20T21:46:42Z,10217,$1.27,$1.22
2024-12-20T23:46:45Z,10660,$1.24,$1.19
2024-12-20T23:46:45Z,10660,$1.24,$1.19
2024-12-21T01:46:46Z,10315,$1.26,$1.21
2024-12-21T01:46:47Z,10315,$1.26,$1.21
2024-12-21T03:46:48Z,9799,$1.28,$1.23
2024-12-21T03:46:49Z,9799,$1.28,$1.23
2024-12-21T05:46:51Z,9895,$1.24,$1.19
2024-12-21T05:46:51Z,9895,$1.24,$1.19
2024-12-21T07:46:52Z,9825,$1.26,$1.21
2024-12-21T07:46:52Z,9825,$1.26,$1.21
2024-12-21T09:46:55Z,9696,$1.26,$1.21
2024-12-21T09:46:56Z,9696,$1.26,$1.21
2024-12-21T11:46:58Z,9554,$1.28,$1.23
2024-12-21T13:47:00Z,9564,$1.27,$1.22
2024-12-21T13:47:00Z,9564,$1.27,$1.22
2024-12-21T15:47:02Z,9282,$1.28,$1.23
2024-12-21T15:47:02Z,9284,$1.28,$1.23
2024-12-21T15:47:03Z,9282,$1.28,$1.23
2024-12-21T15:47:03Z,9284,$1.28,$1.23
2024-12-21T17:47:05Z,9425,$1.20,$1.15
2024-12-21T17:47:05Z,9425,$1.20,$1.15
2024-12-21T19:47:08Z,9009,$1.29,$1.24
2024-12-21T19:47:08Z,9009,$1.29,$1.24
2024-12-21T21:47:10Z,8841,$1.30,$1.25
2024-12-21T21:47:10Z,8841,$1.30,$1.25
2024-12-21T23:47:12Z,8519,$1.30,$1.25
2024-12-21T23:47:13Z,8519,$1.30,$1.25
2024-12-22T01:47:14Z,7750,$1.31,$1.26
2024-12-22T01:47:15Z,7750,$1.31,$1.26
2024-12-22T03:47:16Z,7201,$1.33,$1.28
2024-12-22T03:47:16Z,7201,$1.33,$1.28
2024-12-22T05:47:18Z,7095,$1.29,$1.24
2024-12-22T05:47:18Z,7095,$1.29,$1.24
2024-12-22T07:47:20Z,6771,$1.33,$1.28
2024-12-22T07:47:20Z,6771,$1.33,$1.28
2024-12-22T09:47:22Z,6835,$1.27,$1.22
2024-12-22T09:47:22Z,6835,$1.27,$1.22
2024-12-22T11:47:25Z,7090,$1.19,$1.14
2024-12-22T13:47:29Z,7105,$1.18,$1.13
2024-12-22T13:47:29Z,7109,$1.18,$1.13
2024-12-22T15:47:35Z,7820,$1.31,$1.26
2024-12-22T15:47:35Z,7820,$1.31,$1.26
2024-12-22T17:47:38Z,7687,$1.31,$1.26
2024-12-22T17:47:38Z,7686,$1.31,$1.26
2024-12-22T17:47:38Z,7686,$1.31,$1.26
2024-12-22T19:47:42Z,8486,$1.30,$1.25
2024-12-22T19:47:42Z,8486,$1.30,$1.25
2024-12-22T21:47:44Z,8475,$1.29,$1.24
2024-12-22T21:47:44Z,8475,$1.29,$1.24
2024-12-22T23:47:46Z,8103,$1.30,$1.25
2024-12-22T23:47:47Z,8103,$1.30,$1.25
2024-12-23T01:47:49Z,6907,$1.32,$1.27
2024-12-23T01:47:49Z,6907,$1.32,$1.27
2024-12-23T03:47:51Z,6459,$1.29,$1.24
2024-12-23T03:47:52Z,6459,$1.29,$1.24
2024-12-23T05:47:53Z,7225,$1.19,$1.14
2024-12-23T05:47:53Z,7225,$1.19,$1.14
2024-12-23T07:47:55Z,7042,$1.32,$1.27
2024-12-23T07:47:55Z,7042,$1.32,$1.27
2024-12-23T09:47:57Z,7035,$1.26,$1.21
2024-12-23T09:47:57Z,7035,$1.26,$1.21
2024-12-23T11:47:59Z,6992,$1.33,$1.28
2024-12-23T11:47:59Z,6992,$1.33,$1.28
2024-12-23T13:48:09Z,7399,$1.28,$1.23
2024-12-23T13:48:11Z,7398,$1.30,$1.25
2024-12-23T15:11:11Z,7321,$1.30,$1.25
2024-12-23T15:11:11Z,7321,$1.30,$1.25
2024-12-23T17:11:19Z,7417,$1.33,$1.28
2024-12-23T17:11:19Z,7416,$1.33,$1.28
2024-12-23T19:11:25Z,7930,$1.32,$1.27
2024-12-23T19:11:26Z,7930,$1.32,$1.27
2024-12-23T21:11:29Z,7452,$1.32,$1.27
2024-12-23T21:11:29Z,7452,$1.32,$1.27
2024-12-23T23:11:32Z,7260,$1.33,$1.28
2024-12-23T23:11:32Z,7260,$1.33,$1.28
2024-12-24T01:11:35Z,6796,$1.34,$1.29
2024-12-24T01:11:35Z,6796,$1.34,$1.29
2024-12-24T05:11:42Z,6231,$1.32,$1.27
2024-12-24T05:11:42Z,6231,$1.32,$1.27
2024-12-24T07:11:46Z,5913,$1.35,$1.30
2024-12-24T07:11:46Z,5913,$1.35,$1.30
2024-12-24T09:11:49Z,6043,$1.35,$1.30
2024-12-24T09:11:49Z,6043,$1.35,$1.30
2024-12-24T11:11:52Z,5786,$1.35,$1.30
2024-12-24T11:11:52Z,5786,$1.35,$1.30
2024-12-24T13:11:55Z,5651,$1.39,$1.33
2024-12-24T15:11:58Z,5689,$1.35,$1.30
2024-12-24T15:11:58Z,5689,$1.35,$1.30
2024-12-24T17:12:01Z,5659,$1.34,$1.29
2024-12-24T17:12:01Z,5659,$1.34,$1.29
2024-12-24T19:12:06Z,5582,$1.39,$1.33
2024-12-24T19:12:06Z,5582,$1.39,$1.33
2024-12-24T21:12:09Z,5127,$1.42,$1.36
2024-12-24T21:12:09Z,5127,$1.42,$1.36
2024-12-24T23:12:11Z,4688,$1.39,$1.33
2024-12-24T23:12:11Z,4688,$1.39,$1.33
2024-12-25T01:12:13Z,4146,$1.49,$1.43
2024-12-25T01:12:13Z,4146,$1.49,$1.43
2024-12-25T03:12:16Z,3510,$1.56,$1.50
2024-12-25T03:12:16Z,3510,$1.56,$1.50
2024-12-25T05:12:18Z,3163,$1.67,$1.60
2024-12-25T05:12:18Z,3163,$1.67,$1.60
2024-12-25T07:12:20Z,3014,$1.65,$1.58
2024-12-25T07:12:20Z,3014,$1.65,$1.58
2024-12-25T09:12:22Z,3312,$1.62,$1.55
2024-12-25T09:12:22Z,3314,$1.62,$1.55
2024-12-25T11:12:24Z,4058,$1.56,$1.50
2024-12-25T11:12:24Z,4058,$1.56,$1.50
2024-12-25T13:12:29Z,4787,$1.49,$1.43
2024-12-25T13:12:31Z,4787,$1.49,$1.43
2024-12-25T15:12:35Z,5569,$1.39,$1.33
2024-12-25T15:12:35Z,5568,$1.40,$1.34
2024-12-25T15:12:35Z,5569,$1.39,$1.33
2024-12-25T17:12:39Z,6079,$1.35,$1.30
2024-12-25T17:12:40Z,6079,$1.35,$1.30
2024-12-25T19:12:41Z,6281,$1.32,$1.27
2024-12-25T19:12:41Z,6281,$1.32,$1.27
2024-12-25T19:12:41Z,6281,$1.32,$1.27
2024-12-25T19:12:41Z,6281,$1.32,$1.27
2024-12-25T21:12:46Z,5990,$1.33,$1.28
2024-12-25T21:12:46Z,5990,$1.33,$1.28
2024-12-25T23:12:51Z,5664,$1.40,$1.34
2024-12-25T23:12:52Z,5664,$1.40,$1.34
2024-12-26T01:12:54Z,5736,$1.44,$1.38
2024-12-26T01:12:54Z,5736,$1.44,$1.38
2024-12-26T03:12:56Z,5048,$1.54,$1.48
2024-12-26T03:12:57Z,5048,$1.54,$1.48
2024-12-26T05:12:59Z,5329,$1.61,$1.54
2024-12-26T05:12:59Z,5329,$1.61,$1.54
2024-12-26T07:13:01Z,5021,$1.58,$1.52
2024-12-26T07:13:01Z,5021,$1.58,$1.52
2024-12-26T09:13:03Z,5355,$1.56,$1.50
2024-12-26T09:13:03Z,5357,$1.51,$1.45
2024-12-26T09:13:03Z,5355,$1.56,$1.50
2024-12-26T09:13:03Z,5357,$1.51,$1.45
2024-12-26T11:13:06Z,5962,$1.44,$1.38
2024-12-26T11:13:06Z,5962,$1.44,$1.38
2024-12-26T13:13:11Z,6455,$1.38,$1.32
2024-12-26T13:47:47Z,6390,$1.40,$1.34
2024-12-26T13:47:47Z,6390,$1.40,$1.34
2024-12-26T13:57:26Z,6347,$1.42,$1.36
2024-12-27T01:10:46Z,8938,$1.54,$1.48
2024-12-27T01:10:46Z,8938,$1.54,$1.48
2024-12-27T03:10:49Z,8895,$1.55,$1.49
2024-12-27T03:10:49Z,8895,$1.55,$1.49
2024-12-27T05:10:51Z,8722,$1.54,$1.48
2024-12-27T05:10:51Z,8722,$1.54,$1.48
2024-12-27T07:10:52Z,8408,$1.52,$1.46
2024-12-27T07:10:52Z,8408,$1.52,$1.46
2024-12-27T09:10:55Z,8705,$1.41,$1.35
2024-12-27T09:10:55Z,8705,$1.41,$1.35
2024-12-27T11:10:57Z,9480,$1.41,$1.35
2024-12-27T11:10:57Z,9480,$1.41,$1.35
2024-12-27T13:11:00Z,10647,$1.38,$1.32
2024-12-27T13:11:00Z,10647,$1.38,$1.32
2024-12-27T15:11:02Z,10728,$1.34,$1.29
2024-12-27T15:11:02Z,10730,$1.39,$1.33
2024-12-27T19:11:09Z,10516,$1.39,$1.33
2024-12-27T19:11:09Z,10516,$1.39,$1.33
2024-12-27T21:11:14Z,9771,$1.40,$1.34
2024-12-27T21:11:14Z,9771,$1.40,$1.34
2024-12-27T23:11:17Z,9361,$1.42,$1.36
2024-12-27T23:11:17Z,9361,$1.42,$1.36
2024-12-28T01:11:19Z,9855,$1.42,$1.36
2024-12-28T01:11:19Z,9855,$1.42,$1.36
2024-12-28T03:11:22Z,9135,$1.44,$1.38
2024-12-28T03:11:22Z,9135,$1.44,$1.38
2024-12-28T05:11:24Z,8685,$1.44,$1.38
2024-12-28T05:11:24Z,8685,$1.44,$1.38
2024-12-28T07:11:26Z,8742,$1.44,$1.38
2024-12-28T07:11:26Z,8742,$1.44,$1.38
2024-12-28T09:11:28Z,9200,$1.39,$1.33
2024-12-28T09:11:28Z,9200,$1.39,$1.33
2024-12-28T11:11:31Z,9826,$1.33,$1.28
2024-12-28T13:11:35Z,9790,$1.43,$1.37
2024-12-28T13:11:35Z,9790,$1.43,$1.37
2024-12-28T15:11:43Z,9672,$1.44,$1.38
2024-12-28T15:11:44Z,9672,$1.44,$1.38
2024-12-28T17:11:45Z,9642,$1.43,$1.37
2024-12-28T17:11:45Z,9642,$1.43,$1.37
2024-12-28T19:11:49Z,9211,$1.40,$1.34
2024-12-28T19:11:50Z,9211,$1.40,$1.34
2024-12-28T21:11:51Z,9520,$1.42,$1.36
2024-12-28T21:11:51Z,9520,$1.42,$1.36
2024-12-28T23:11:53Z,8953,$1.33,$1.28
2024-12-28T23:11:53Z,8953,$1.33,$1.28
2024-12-29T01:11:56Z,8683,$1.47,$1.41
