Date,Listings,Sell Price,Buy Price
2024-12-11T01:15:57Z,231253,$0.75,$0.72
2024-12-11T12:47:15Z,237138,$0.69,$0.66
2024-12-11T13:38:59Z,238180,$0.69,$0.66
2024-12-11T13:38:59Z,238180,$0.69,$0.66
2024-12-11T13:39:24Z,238180,$0.69,$0.66
2024-12-11T13:39:58Z,238180,$0.69,$0.66
2024-12-11T13:40:04Z,238180,$0.69,$0.66
2024-12-11T13:46:56Z,238300,$0.69,$0.66
2024-12-11T13:46:59Z,238300,$0.69,$0.66
2024-12-11T13:47:43Z,238300,$0.69,$0.66
2024-12-11T13:50:04Z,238357,$0.69,$0.66
2024-12-11T13:50:04Z,238357,$0.69,$0.66
2024-12-11T13:52:56Z,238357,$0.69,$0.66
2024-12-11T13:53:01Z,238357,$0.69,$0.66
2024-12-11T13:53:49Z,238362,$0.69,$0.66
2024-12-11T13:54:08Z,238362,$0.69,$0.66
2024-12-11T14:36:06Z,238957,$0.69,$0.66
2024-12-11T14:36:06Z,238957,$0.69,$0.66
2024-12-11T14:39:03Z,238957,$0.69,$0.66
2024-12-11T14:39:04Z,238957,$0.69,$0.66
2024-12-11T14:43:24Z,239180,$0.69,$0.66
2024-12-11T14:43:24Z,239180,$0.69,$0.66
2024-12-11T14:48:52Z,239265,$0.69,$0.66
2024-12-11T14:48:53Z,239265,$0.69,$0.66
2024-12-11T14:58:41Z,239316,$0.69,$0.66
2024-12-11T14:58:41Z,239316,$0.69,$0.66
2024-12-11T20:10:58Z,242005,$0.66,$0.64
2024-12-11T20:10:59Z,242005,$0.66,$0.64
2024-12-12T00:11:01Z,242793,$0.66,$0.64
2024-12-12T00:11:01Z,242793,$0.66,$0.64
2024-12-12T04:11:03Z,240705,$0.70,$0.67
2024-12-12T04:11:03Z,240706,$0.69,$0.66
2024-12-12T04:11:03Z,240705,$0.70,$0.67
2024-12-12T08:11:04Z,239626,$0.71,$0.68
2024-12-12T08:11:04Z,239626,$0.71,$0.68
2024-12-12T12:11:07Z,241731,$0.66,$0.64
2024-12-12T12:11:07Z,241731,$0.66,$0.64
2024-12-12T16:11:09Z,243535,$0.69,$0.66
2024-12-12T16:11:09Z,243535,$0.69,$0.66
2024-12-12T18:10:18Z,243789,$0.70,$0.67
2024-12-12T18:10:46Z,243789,$0.70,$0.67
2024-12-12T22:10:20Z,245506,$0.70,$0.67
2024-12-12T22:10:48Z,245506,$0.70,$0.67
2024-12-13T02:10:22Z,243378,$0.72,$0.69
2024-12-13T02:10:49Z,243376,$0.73,$0.70
2024-12-13T06:10:24Z,240406,$0.72,$0.69
2024-12-13T06:10:51Z,240406,$0.72,$0.69
2024-12-13T10:10:26Z,240089,$0.66,$0.64
2024-12-13T10:10:52Z,240089,$0.66,$0.64
2024-12-13T14:10:29Z,241742,$0.71,$0.68
2024-12-13T14:10:53Z,241742,$0.71,$0.68
2024-12-13T18:10:32Z,241860,$0.69,$0.66
2024-12-13T18:10:55Z,241860,$0.69,$0.66
2024-12-13T18:49:41Z,241787,$0.70,$0.67
2024-12-13T18:49:43Z,241787,$0.70,$0.67
2024-12-13T22:49:47Z,242186,$0.72,$0.69
2024-12-13T22:49:47Z,242186,$0.72,$0.69
2024-12-14T02:49:49Z,238786,$0.72,$0.69
2024-12-14T02:49:49Z,238786,$0.72,$0.69
2024-12-14T06:49:51Z,235093,$0.75,$0.72
2024-12-14T06:49:51Z,235093,$0.75,$0.72
2024-12-14T10:49:53Z,235345,$0.70,$0.67
2024-12-14T10:49:53Z,235345,$0.70,$0.67
2024-12-14T14:49:56Z,237058,$0.66,$0.64
2024-12-14T14:49:56Z,237058,$0.66,$0.64
2024-12-14T18:49:58Z,237557,$0.66,$0.64
2024-12-14T18:49:58Z,237557,$0.66,$0.64
2024-12-14T22:50:00Z,237392,$0.69,$0.66
2024-12-14T22:50:00Z,237392,$0.69,$0.66
2024-12-15T02:50:02Z,234254,$0.73,$0.70
2024-12-15T02:50:02Z,234254,$0.73,$0.70
2024-12-15T06:50:04Z,230037,$0.74,$0.71
2024-12-15T06:50:04Z,230037,$0.74,$0.71
2024-12-15T10:50:06Z,231742,$0.71,$0.68
2024-12-15T10:50:07Z,231742,$0.71,$0.68
2024-12-15T13:32:29Z,234099,$0.66,$0.64
2024-12-15T13:32:30Z,234099,$0.66,$0.64
2024-12-15T13:55:56Z,234460,$0.69,$0.66
2024-12-15T13:55:53Z,234460,$0.69,$0.66
2024-12-15T17:55:59Z,236372,$0.72,$0.69
2024-12-15T17:55:59Z,236372,$0.72,$0.69
2024-12-15T21:56:01Z,235518,$0.70,$0.67
2024-12-15T21:56:01Z,235518,$0.70,$0.67
2024-12-16T01:56:03Z,233657,$0.71,$0.68
2024-12-16T01:56:03Z,233657,$0.71,$0.68
2024-12-16T05:56:05Z,234416,$0.74,$0.71
2024-12-16T05:56:05Z,234416,$0.74,$0.71
2024-12-16T09:56:07Z,235720,$0.70,$0.67
2024-12-16T09:56:07Z,235719,$0.70,$0.67
2024-12-16T13:56:10Z,237014,$0.66,$0.64
2024-12-16T13:56:10Z,237014,$0.66,$0.64
2024-12-16T17:56:12Z,237892,$0.74,$0.71
2024-12-16T17:56:12Z,237892,$0.74,$0.71
2024-12-16T21:56:14Z,238479,$0.71,$0.68
2024-12-16T21:56:14Z,238479,$0.71,$0.68
2024-12-17T01:56:16Z,236522,$0.72,$0.69
2024-12-17T01:56:16Z,236522,$0.72,$0.69
2024-12-17T02:20:48Z,236686,$0.72,$0.69
2024-12-17T02:20:48Z,236686,$0.72,$0.69
2024-12-17T02:20:59Z,236686,$0.72,$0.69
2024-12-17T02:21:00Z,236686,$0.72,$0.69
2024-12-17T02:28:18Z,236578,$0.74,$0.71
2024-12-17T02:28:18Z,236578,$0.74,$0.71
2024-12-17T06:28:20Z,235037,$0.74,$0.71
2024-12-17T06:28:20Z,235037,$0.74,$0.71
2024-12-17T10:28:22Z,236466,$0.73,$0.70
2024-12-17T10:28:22Z,236466,$0.73,$0.70
2024-12-17T10:28:22Z,236466,$0.73,$0.70
2024-12-17T14:28:24Z,237625,$0.72,$0.69
2024-12-17T14:28:24Z,237624,$0.72,$0.69
2024-12-17T14:28:24Z,237624,$0.72,$0.69
2024-12-17T18:28:26Z,238692,$0.69,$0.66
2024-12-17T18:28:27Z,238692,$0.69,$0.66
2024-12-17T22:28:28Z,238894,$0.72,$0.69
2024-12-18T02:28:32Z,236342,$0.71,$0.68
2024-12-18T02:28:32Z,236342,$0.71,$0.68
2024-12-18T02:28:32Z,236342,$0.71,$0.68
2024-12-18T06:28:34Z,238650,$0.70,$0.67
2024-12-18T06:28:34Z,238650,$0.70,$0.67
2024-12-18T10:28:36Z,240627,$0.65,$0.63
2024-12-18T10:28:36Z,240627,$0.65,$0.63
