Date,Listings,Sell Price,Buy Price
2024-12-11T01:15:57Z,7958,$8.58,$8.21
2024-12-11T12:47:15Z,8350,$8.41,$8.05
2024-12-11T13:38:59Z,8295,$8.51,$8.14
2024-12-11T13:38:59Z,8295,$8.51,$8.14
2024-12-11T13:39:24Z,8295,$8.51,$8.14
2024-12-11T13:39:58Z,8295,$8.51,$8.14
2024-12-11T13:40:04Z,8295,$8.51,$8.14
2024-12-11T13:46:56Z,8320,$8.48,$8.12
2024-12-11T13:46:59Z,8320,$8.48,$8.12
2024-12-11T13:47:43Z,8320,$8.48,$8.12
2024-12-11T13:50:04Z,8310,$8.48,$8.12
2024-12-11T13:50:04Z,8310,$8.48,$8.12
2024-12-11T13:52:56Z,8310,$8.48,$8.12
2024-12-11T13:53:01Z,8310,$8.48,$8.12
2024-12-11T13:53:49Z,8310,$8.48,$8.12
2024-12-11T13:54:08Z,8310,$8.48,$8.12
2024-12-11T13:56:20Z,8310,$8.48,$8.12
2024-12-11T14:36:06Z,8481,$8.53,$8.16
2024-12-11T14:36:06Z,8481,$8.53,$8.16
2024-12-11T14:39:03Z,8481,$8.53,$8.16
2024-12-11T14:39:04Z,8481,$8.53,$8.16
2024-12-11T14:43:24Z,8561,$8.48,$8.12
2024-12-11T14:43:24Z,8561,$8.48,$8.12
2024-12-11T14:48:52Z,8565,$8.52,$8.15
2024-12-11T14:48:53Z,8565,$8.52,$8.15
2024-12-11T14:58:41Z,8574,$8.40,$8.04
2024-12-11T14:58:41Z,8574,$8.40,$8.04
2024-12-11T16:10:56Z,8589,$8.46,$8.10
2024-12-11T16:10:56Z,8589,$8.46,$8.10
2024-12-11T20:10:58Z,8712,$8.37,$8.01
2024-12-11T20:10:59Z,8712,$8.37,$8.01
2024-12-12T00:11:01Z,8395,$8.56,$8.19
2024-12-12T00:11:01Z,8395,$8.56,$8.19
2024-12-12T04:11:03Z,8339,$8.57,$8.20
2024-12-12T04:11:03Z,8339,$8.57,$8.20
2024-12-12T08:11:04Z,8594,$8.52,$8.15
2024-12-12T08:11:04Z,8594,$8.52,$8.15
2024-12-12T12:11:07Z,8674,$8.43,$8.07
2024-12-12T12:11:07Z,8674,$8.43,$8.07
2024-12-12T16:11:09Z,8720,$8.44,$8.08
2024-12-12T16:11:09Z,8720,$8.44,$8.08
2024-12-12T18:10:18Z,8859,$8.30,$7.94
2024-12-12T18:10:18Z,8859,$8.30,$7.94
2024-12-12T18:10:46Z,8859,$8.30,$7.94
2024-12-12T18:10:46Z,8859,$8.30,$7.94
2024-12-12T22:10:20Z,9129,$8.43,$8.07
2024-12-12T22:10:48Z,9129,$8.43,$8.07
