Date,Listings,Sell Price,Buy Price
2024-12-11T01:15:57Z,603,$23.97,$22.93
2024-12-11T12:47:15Z,614,$24.00,$22.96
2024-12-11T13:38:59Z,596,$24.74,$23.67
2024-12-11T13:38:59Z,596,$24.74,$23.67
2024-12-11T13:39:24Z,596,$24.74,$23.67
2024-12-11T13:39:58Z,596,$24.74,$23.67
2024-12-11T13:40:04Z,596,$24.74,$23.67
2024-12-11T13:46:56Z,596,$24.74,$23.67
2024-12-11T13:46:59Z,596,$24.74,$23.67
2024-12-11T13:47:43Z,596,$24.74,$23.67
2024-12-11T13:50:04Z,596,$24.74,$23.67
2024-12-11T13:50:04Z,596,$24.74,$23.67
2024-12-11T13:52:56Z,596,$24.74,$23.67
2024-12-11T13:53:01Z,596,$24.74,$23.67
2024-12-11T13:53:49Z,597,$24.57,$23.51
2024-12-11T13:54:08Z,597,$24.57,$23.51
2024-12-11T13:56:20Z,597,$24.57,$23.51
2024-12-11T14:36:06Z,597,$23.96,$22.92
2024-12-11T14:36:06Z,597,$23.96,$22.92
2024-12-11T14:39:03Z,597,$23.96,$22.92
2024-12-11T14:39:04Z,597,$23.96,$22.92
2024-12-11T14:43:24Z,597,$23.96,$22.92
2024-12-11T14:43:24Z,597,$23.96,$22.92
2024-12-11T14:48:52Z,597,$23.96,$22.92
2024-12-11T14:48:53Z,597,$23.96,$22.92
2024-12-11T14:58:41Z,605,$23.96,$22.92
2024-12-11T14:58:41Z,605,$23.96,$22.92
2024-12-11T16:10:56Z,607,$24.29,$23.24
2024-12-11T16:10:56Z,607,$24.29,$23.24
2024-12-11T20:10:58Z,621,$23.98,$22.94
2024-12-11T20:10:59Z,621,$23.98,$22.94
2024-12-12T00:11:01Z,620,$23.94,$22.90
2024-12-12T00:11:01Z,620,$23.94,$22.90
2024-12-12T04:11:03Z,616,$24.12,$23.08
2024-12-12T04:11:03Z,616,$24.12,$23.08
2024-12-12T08:11:04Z,606,$24.30,$23.25
2024-12-12T08:11:04Z,606,$24.30,$23.25
2024-12-12T08:11:04Z,606,$24.30,$23.25
2024-12-12T12:11:07Z,606,$23.95,$22.91
2024-12-12T12:11:07Z,606,$23.95,$22.91
2024-12-12T16:11:09Z,617,$23.95,$22.91
2024-12-12T16:11:09Z,617,$23.95,$22.91
2024-12-12T18:10:18Z,624,$23.70,$22.67
2024-12-12T18:10:46Z,624,$23.70,$22.67
2024-12-12T22:10:20Z,631,$23.15,$22.15
2024-12-12T22:10:48Z,631,$23.15,$22.15
2024-12-13T02:10:22Z,627,$23.52,$22.50
2024-12-13T02:10:49Z,627,$23.52,$22.50
2024-12-13T06:10:24Z,630,$23.35,$22.34
2024-12-13T06:10:51Z,630,$23.35,$22.34
2024-12-13T10:10:26Z,605,$23.72,$22.69
2024-12-13T10:10:52Z,605,$23.72,$22.69
2024-12-13T14:10:29Z,602,$23.18,$22.18
2024-12-13T14:10:53Z,602,$23.18,$22.18
2024-12-13T18:10:32Z,613,$23.60,$22.58
2024-12-13T18:10:55Z,613,$23.60,$22.58
2024-12-13T18:49:41Z,610,$24.11,$23.07
2024-12-13T18:49:43Z,610,$24.11,$23.07
2024-12-13T22:49:47Z,620,$23.15,$22.15
2024-12-13T22:49:47Z,620,$23.15,$22.15
2024-12-14T02:49:49Z,609,$23.66,$22.64
2024-12-14T02:49:49Z,609,$23.66,$22.64
2024-12-14T06:49:51Z,601,$24.44,$23.38
2024-12-14T06:49:51Z,601,$24.44,$23.38
2024-12-14T10:49:53Z,598,$24.62,$23.55
2024-12-14T10:49:53Z,598,$24.62,$23.55
2024-12-14T14:49:56Z,607,$23.05,$22.05
2024-12-14T14:49:56Z,607,$23.05,$22.05
2024-12-14T18:49:58Z,615,$24.30,$23.25
2024-12-14T18:49:58Z,615,$24.30,$23.25
2024-12-14T22:50:00Z,622,$23.43,$22.42
2024-12-14T22:50:00Z,622,$23.43,$22.42
2024-12-15T02:50:02Z,614,$24.11,$23.07
2024-12-15T02:50:02Z,614,$24.11,$23.07
2024-12-15T06:50:04Z,618,$23.72,$22.69
2024-12-15T06:50:04Z,618,$23.72,$22.69
2024-12-15T10:50:06Z,625,$23.65,$22.63
2024-12-15T13:32:29Z,629,$23.65,$22.63
2024-12-15T13:32:30Z,629,$23.65,$22.63
2024-12-15T13:55:53Z,628,$23.66,$22.64
2024-12-15T13:55:56Z,628,$23.66,$22.64
2024-12-15T17:55:59Z,634,$23.70,$22.67
2024-12-15T17:55:59Z,634,$23.70,$22.67
2024-12-15T21:56:01Z,641,$23.66,$22.64
2024-12-15T21:56:01Z,641,$23.66,$22.64
2024-12-16T01:56:03Z,636,$23.69,$22.66
2024-12-16T01:56:03Z,636,$23.69,$22.66
2024-12-16T05:56:05Z,603,$23.70,$22.67
2024-12-16T05:56:05Z,603,$23.70,$22.67
2024-12-16T09:56:07Z,599,$23.71,$22.68
2024-12-16T09:56:07Z,599,$23.71,$22.68
2024-12-16T13:56:10Z,560,$23.53,$22.51
2024-12-16T13:56:10Z,560,$23.53,$22.51
2024-12-16T17:56:12Z,560,$24.11,$23.07
2024-12-16T17:56:12Z,560,$24.11,$23.07
2024-12-16T21:56:14Z,519,$23.55,$22.53
2024-12-16T21:56:14Z,519,$23.55,$22.53
2024-12-17T01:56:16Z,510,$24.09,$23.05
2024-12-17T01:56:16Z,510,$24.09,$23.05
2024-12-17T02:14:53Z,512,$22.97,$21.98
2024-12-17T02:14:53Z,512,$22.97,$21.98
2024-12-17T02:14:54Z,512,$22.97,$21.98
2024-12-17T02:14:54Z,512,$22.97,$21.98
2024-12-17T02:17:25Z,512,$22.97,$21.98
2024-12-17T02:17:25Z,512,$22.97,$21.98
2024-12-17T02:17:26Z,512,$22.97,$21.98
2024-12-17T02:17:26Z,512,$22.97,$21.98
