Date,Listings,Sell Price,Buy Price
2024-12-11T01:15:57Z,2335,$3.53,$3.38
2024-12-11T12:47:15Z,2442,$3.49,$3.34
2024-12-11T13:38:59Z,2396,$3.49,$3.34
2024-12-11T13:38:59Z,2396,$3.49,$3.34
2024-12-11T13:39:24Z,2396,$3.49,$3.34
2024-12-11T13:39:58Z,2396,$3.49,$3.34
2024-12-11T13:40:04Z,2396,$3.49,$3.34
2024-12-11T13:46:56Z,2395,$3.45,$3.30
2024-12-11T13:46:59Z,2395,$3.45,$3.30
2024-12-11T13:47:43Z,2395,$3.45,$3.30
2024-12-11T13:50:04Z,2396,$3.45,$3.30
2024-12-11T13:50:04Z,2396,$3.45,$3.30
2024-12-11T13:52:56Z,2396,$3.45,$3.30
2024-12-11T13:53:01Z,2396,$3.45,$3.30
2024-12-11T13:53:49Z,2397,$3.40,$3.26
2024-12-11T13:54:08Z,2397,$3.40,$3.26
2024-12-11T13:56:20Z,2397,$3.40,$3.26
2024-12-11T14:36:06Z,2400,$3.37,$3.23
2024-12-11T14:36:06Z,2400,$3.37,$3.23
2024-12-11T14:39:03Z,2400,$3.37,$3.23
2024-12-11T14:39:04Z,2400,$3.37,$3.23
2024-12-11T14:43:24Z,2403,$3.37,$3.23
2024-12-11T14:43:24Z,2403,$3.37,$3.23
2024-12-11T14:48:52Z,2403,$3.37,$3.23
2024-12-11T14:48:53Z,2403,$3.37,$3.23
2024-12-11T14:58:41Z,2403,$3.37,$3.23
2024-12-11T14:58:41Z,2403,$3.37,$3.23
2024-12-11T16:10:56Z,2345,$3.51,$3.36
2024-12-11T16:10:56Z,2345,$3.51,$3.36
2024-12-11T20:10:58Z,2374,$3.34,$3.20
2024-12-11T20:10:59Z,2374,$3.34,$3.20
2024-12-12T00:11:01Z,2384,$3.33,$3.19
2024-12-12T00:11:01Z,2384,$3.33,$3.19
2024-12-12T04:11:03Z,2403,$3.37,$3.23
2024-12-12T04:11:03Z,2403,$3.37,$3.23
2024-12-12T08:11:04Z,2412,$3.34,$3.20
2024-12-12T08:11:04Z,2412,$3.34,$3.20
2024-12-12T12:11:07Z,2366,$3.49,$3.34
2024-12-12T12:11:07Z,2366,$3.49,$3.34
2024-12-12T16:11:09Z,2396,$3.33,$3.19
2024-12-12T16:11:09Z,2396,$3.33,$3.19
2024-12-12T18:10:18Z,2436,$3.48,$3.33
2024-12-12T18:10:46Z,2436,$3.48,$3.33
2024-12-12T22:10:20Z,2428,$3.49,$3.34
2024-12-12T22:10:48Z,2428,$3.49,$3.34
2024-12-13T02:10:22Z,2492,$3.49,$3.34
2024-12-13T02:10:49Z,2492,$3.49,$3.34
2024-12-13T06:10:24Z,2357,$3.48,$3.33
2024-12-13T06:10:51Z,2357,$3.48,$3.33
2024-12-13T10:10:26Z,2331,$3.53,$3.38
2024-12-13T10:10:52Z,2331,$3.53,$3.38
2024-12-13T14:10:29Z,2338,$3.41,$3.27
2024-12-13T14:10:53Z,2338,$3.41,$3.27
2024-12-13T18:10:32Z,2345,$3.36,$3.22
2024-12-13T18:10:55Z,2345,$3.36,$3.22
2024-12-13T18:49:41Z,2333,$3.40,$3.26
2024-12-13T18:49:43Z,2333,$3.40,$3.26
2024-12-13T22:49:47Z,2259,$3.52,$3.37
2024-12-13T22:49:47Z,2259,$3.52,$3.37
2024-12-14T02:49:49Z,2264,$3.50,$3.35
2024-12-14T02:49:49Z,2264,$3.50,$3.35
2024-12-14T06:49:51Z,2182,$3.57,$3.42
2024-12-14T06:49:51Z,2182,$3.57,$3.42
2024-12-14T10:49:53Z,2156,$3.59,$3.44
2024-12-14T10:49:53Z,2156,$3.59,$3.44
2024-12-14T14:49:56Z,2168,$3.57,$3.42
2024-12-14T14:49:56Z,2168,$3.57,$3.42
2024-12-14T18:49:58Z,2166,$3.52,$3.37
2024-12-14T18:49:58Z,2166,$3.52,$3.37
2024-12-14T22:50:00Z,2164,$3.46,$3.31
2024-12-14T22:50:00Z,2164,$3.46,$3.31
2024-12-15T02:50:02Z,2153,$3.52,$3.37
2024-12-15T02:50:02Z,2153,$3.52,$3.37
2024-12-15T06:50:04Z,2010,$3.61,$3.46
2024-12-15T06:50:04Z,2010,$3.61,$3.46
2024-12-15T10:50:06Z,1913,$3.53,$3.38
2024-12-15T10:50:07Z,1913,$3.53,$3.38
2024-12-15T13:32:29Z,1926,$3.41,$3.27
2024-12-15T13:32:30Z,1926,$3.41,$3.27
2024-12-15T13:55:56Z,1932,$3.34,$3.20
2024-12-15T13:55:53Z,1932,$3.34,$3.20
2024-12-15T17:55:59Z,1969,$3.36,$3.22
2024-12-15T17:55:59Z,1969,$3.36,$3.22
2024-12-15T21:56:01Z,2070,$3.53,$3.38
2024-12-15T21:56:01Z,2070,$3.53,$3.38
2024-12-16T01:56:03Z,2143,$3.53,$3.38
2024-12-16T01:56:03Z,2143,$3.53,$3.38
2024-12-16T05:56:05Z,2136,$3.53,$3.38
2024-12-16T05:56:05Z,2136,$3.53,$3.38
2024-12-16T09:56:07Z,2164,$3.38,$3.24
2024-12-16T09:56:07Z,2164,$3.38,$3.24
2024-12-16T13:56:10Z,2126,$3.51,$3.36
2024-12-16T13:56:10Z,2126,$3.51,$3.36
2024-12-16T17:56:12Z,2077,$3.61,$3.46
2024-12-16T17:56:12Z,2077,$3.61,$3.46
2024-12-16T21:56:14Z,2242,$3.34,$3.20
2024-12-16T21:56:14Z,2242,$3.34,$3.20
2024-12-17T01:56:16Z,2192,$3.60,$3.45
2024-12-17T01:56:16Z,2192,$3.60,$3.45
2024-12-17T01:56:16Z,2192,$3.60,$3.45
2024-12-17T02:14:53Z,2188,$3.60,$3.45
2024-12-17T02:14:54Z,2188,$3.60,$3.45
2024-12-17T02:17:25Z,2188,$3.60,$3.45
2024-12-17T02:17:26Z,2188,$3.60,$3.45
2024-12-17T02:20:48Z,2189,$3.60,$3.45
2024-12-17T02:20:48Z,2189,$3.60,$3.45
2024-12-17T02:20:59Z,2189,$3.60,$3.45
2024-12-17T02:21:00Z,2189,$3.60,$3.45
2024-12-17T02:28:18Z,2189,$3.60,$3.45
2024-12-17T02:28:18Z,2189,$3.60,$3.45
2024-12-17T06:28:20Z,2193,$3.57,$3.42
2024-12-17T06:28:20Z,2193,$3.57,$3.42
2024-12-17T10:28:22Z,2204,$3.54,$3.39
2024-12-17T10:28:22Z,2204,$3.54,$3.39
2024-12-17T14:28:24Z,2281,$3.31,$3.17
2024-12-17T14:28:24Z,2281,$3.31,$3.17
2024-12-17T18:28:26Z,2253,$3.30,$3.16
2024-12-17T18:28:27Z,2253,$3.30,$3.16
2024-12-17T22:28:28Z,2265,$3.42,$3.28
2024-12-17T22:28:28Z,2265,$3.42,$3.28
2024-12-18T02:28:32Z,2256,$3.42,$3.28
2024-12-18T02:28:32Z,2256,$3.42,$3.28
2024-12-18T06:28:34Z,2258,$3.36,$3.22
2024-12-18T06:28:34Z,2257,$3.41,$3.27
2024-12-18T06:28:34Z,2258,$3.36,$3.22
2024-12-18T06:28:34Z,2257,$3.41,$3.27
2024-12-18T10:28:36Z,2252,$3.31,$3.17
2024-12-18T10:28:36Z,2252,$3.31,$3.17
2024-12-18T14:28:39Z,2269,$3.34,$3.20
2024-12-18T14:28:39Z,2270,$3.34,$3.20
2024-12-18T14:28:39Z,2269,$3.34,$3.20
2024-12-18T18:28:42Z,2273,$3.31,$3.17
2024-12-18T22:28:44Z,2277,$3.35,$3.21
2024-12-19T02:28:46Z,2166,$3.60,$3.45
2024-12-19T02:28:46Z,2166,$3.60,$3.45
2024-12-19T06:28:47Z,2156,$3.48,$3.33
2024-12-19T06:28:47Z,2156,$3.48,$3.33
2024-12-19T10:28:49Z,2096,$3.60,$3.45
2024-12-19T10:28:49Z,2096,$3.60,$3.45
2024-12-19T14:28:52Z,2114,$3.37,$3.23
2024-12-19T14:28:53Z,2114,$3.37,$3.23
2024-12-19T18:28:54Z,2170,$3.33,$3.19
2024-12-19T18:28:54Z,2170,$3.33,$3.19
2024-12-19T22:28:56Z,2169,$3.29,$3.15
2024-12-19T22:28:56Z,2169,$3.29,$3.15
2024-12-20T06:35:53Z,2179,$3.30,$3.16
2024-12-20T06:35:54Z,2179,$3.30,$3.16
2024-12-20T10:35:55Z,2192,$3.28,$3.14
2024-12-20T10:35:55Z,2192,$3.28,$3.14
2024-12-20T14:36:00Z,2235,$3.29,$3.15
2024-12-20T14:36:01Z,2235,$3.29,$3.15
2024-12-20T14:38:46Z,2235,$3.29,$3.15
2024-12-20T16:38:49Z,2312,$3.29,$3.15
2024-12-20T18:36:03Z,2495,$3.29,$3.15
2024-12-20T18:38:51Z,2495,$3.29,$3.15
2024-12-20T19:42:00Z,2556,$3.29,$3.15
2024-12-20T19:42:01Z,2556,$3.29,$3.15
2024-12-20T19:46:39Z,2557,$3.28,$3.14
2024-12-20T19:46:39Z,2557,$3.28,$3.14
2024-12-20T21:46:42Z,2475,$3.28,$3.14
2024-12-20T21:46:42Z,2475,$3.28,$3.14
2024-12-20T23:46:45Z,2448,$3.30,$3.16
2024-12-20T23:46:45Z,2448,$3.30,$3.16
2024-12-21T01:46:46Z,2463,$3.30,$3.16
2024-12-21T01:46:47Z,2463,$3.30,$3.16
2024-12-21T03:46:48Z,2375,$3.34,$3.20
2024-12-21T03:46:49Z,2375,$3.34,$3.20
2024-12-21T05:46:51Z,2359,$3.27,$3.13
2024-12-21T05:46:51Z,2359,$3.27,$3.13
2024-12-21T07:46:52Z,2362,$3.29,$3.15
2024-12-21T07:46:52Z,2362,$3.29,$3.15
2024-12-21T09:46:55Z,2341,$3.34,$3.20
2024-12-21T09:46:55Z,2332,$3.34,$3.20
2024-12-21T09:46:56Z,2341,$3.34,$3.20
2024-12-21T09:46:56Z,2332,$3.34,$3.20
2024-12-21T11:46:58Z,2334,$3.24,$3.10
2024-12-21T11:46:58Z,2334,$3.24,$3.10
2024-12-21T13:47:00Z,2346,$3.25,$3.11
2024-12-21T13:47:00Z,2346,$3.25,$3.11
2024-12-21T15:47:02Z,2361,$3.26,$3.12
2024-12-21T15:47:03Z,2361,$3.26,$3.12
2024-12-21T17:47:05Z,2363,$3.25,$3.11
2024-12-21T17:47:05Z,2363,$3.25,$3.11
2024-12-21T19:47:08Z,2383,$3.22,$3.08
2024-12-21T19:47:08Z,2383,$3.22,$3.08
2024-12-21T21:47:10Z,2371,$3.25,$3.11
2024-12-21T21:47:10Z,2371,$3.25,$3.11
2024-12-21T23:47:12Z,2357,$3.25,$3.11
2024-12-21T23:47:13Z,2357,$3.25,$3.11
2024-12-22T01:47:14Z,2299,$3.34,$3.20
2024-12-22T01:47:15Z,2299,$3.34,$3.20
2024-12-22T03:47:16Z,2312,$3.33,$3.19
2024-12-22T03:47:16Z,2312,$3.33,$3.19
2024-12-22T05:47:18Z,2318,$3.33,$3.19
2024-12-22T05:47:18Z,2318,$3.33,$3.19
2024-12-22T07:47:20Z,2298,$3.26,$3.12
2024-12-22T07:47:20Z,2297,$3.34,$3.20
2024-12-22T09:47:22Z,2287,$3.38,$3.24
2024-12-22T09:47:22Z,2287,$3.38,$3.24
2024-12-22T11:47:25Z,2262,$3.41,$3.27
2024-12-22T11:47:25Z,2262,$3.41,$3.27
2024-12-22T13:47:29Z,2242,$3.23,$3.09
2024-12-22T13:47:29Z,2242,$3.23,$3.09
2024-12-22T15:47:35Z,2238,$3.29,$3.15
2024-12-22T15:47:35Z,2238,$3.29,$3.15
2024-12-22T17:47:38Z,2251,$3.25,$3.11
2024-12-22T17:47:38Z,2251,$3.25,$3.11
2024-12-22T19:47:42Z,2244,$3.40,$3.26
2024-12-22T19:47:42Z,2244,$3.40,$3.26
2024-12-22T21:47:44Z,2214,$3.38,$3.24
2024-12-22T21:47:44Z,2214,$3.38,$3.24
2024-12-22T23:47:46Z,2198,$3.28,$3.14
2024-12-22T23:47:47Z,2198,$3.28,$3.14
2024-12-22T23:47:47Z,2198,$3.28,$3.14
2024-12-23T01:47:49Z,2199,$3.49,$3.34
2024-12-23T01:47:49Z,2199,$3.49,$3.34
2024-12-23T03:47:51Z,2219,$3.45,$3.30
2024-12-23T03:47:52Z,2219,$3.45,$3.30
2024-12-23T05:47:53Z,2230,$3.48,$3.33
2024-12-23T05:47:53Z,2230,$3.48,$3.33
2024-12-23T07:47:55Z,2242,$3.47,$3.32
2024-12-23T07:47:55Z,2242,$3.47,$3.32
2024-12-23T09:47:57Z,2245,$3.45,$3.30
2024-12-23T09:47:57Z,2245,$3.45,$3.30
