Date,Listings,Sell Price,Buy Price
2024-12-11T01:15:57Z,3765,$2.93,$2.81
2024-12-11T12:47:15Z,3671,$2.85,$2.73
2024-12-11T13:38:59Z,3661,$2.87,$2.75
2024-12-11T13:38:59Z,3661,$2.87,$2.75
2024-12-11T13:39:24Z,3661,$2.87,$2.75
2024-12-11T13:39:58Z,3661,$2.87,$2.75
2024-12-11T13:40:04Z,3661,$2.87,$2.75
2024-12-11T13:46:56Z,3659,$2.95,$2.83
2024-12-11T13:46:59Z,3659,$2.95,$2.83
2024-12-11T13:47:43Z,3659,$2.95,$2.83
2024-12-11T13:50:04Z,3659,$2.95,$2.83
2024-12-11T13:50:04Z,3659,$2.95,$2.83
2024-12-11T13:52:56Z,3659,$2.95,$2.83
2024-12-11T13:53:01Z,3659,$2.95,$2.83
2024-12-11T13:53:49Z,3659,$2.95,$2.83
2024-12-11T13:54:08Z,3659,$2.95,$2.83
2024-12-11T13:56:20Z,3659,$2.95,$2.83
2024-12-11T14:36:06Z,3624,$2.91,$2.79
2024-12-11T14:36:06Z,3624,$2.91,$2.79
2024-12-11T14:39:03Z,3624,$2.91,$2.79
2024-12-11T14:39:04Z,3624,$2.91,$2.79
2024-12-11T14:43:24Z,3620,$2.95,$2.83
2024-12-11T14:43:24Z,3620,$2.95,$2.83
2024-12-11T14:48:52Z,3614,$2.92,$2.80
2024-12-11T14:48:53Z,3614,$2.92,$2.80
2024-12-11T14:58:41Z,3612,$2.94,$2.82
2024-12-11T14:58:41Z,3612,$2.94,$2.82
2024-12-11T16:10:56Z,3598,$2.96,$2.84
2024-12-11T16:10:56Z,3598,$2.96,$2.84
2024-12-11T20:10:58Z,3635,$2.89,$2.77
2024-12-11T20:10:59Z,3635,$2.89,$2.77
2024-12-12T00:11:01Z,3675,$2.88,$2.76
2024-12-12T00:11:01Z,3675,$2.88,$2.76
2024-12-12T04:11:03Z,3427,$2.96,$2.84
2024-12-12T04:11:03Z,3427,$2.96,$2.84
2024-12-12T08:11:04Z,3406,$2.95,$2.83
2024-12-12T08:11:04Z,3406,$2.95,$2.83
2024-12-12T12:11:07Z,3823,$2.94,$2.82
2024-12-12T12:11:07Z,3823,$2.94,$2.82
2024-12-12T16:11:09Z,3795,$2.96,$2.84
2024-12-12T16:11:09Z,3795,$2.96,$2.84
2024-12-12T18:10:18Z,3832,$2.90,$2.78
2024-12-12T18:10:46Z,3832,$2.90,$2.78
2024-12-12T22:10:20Z,3827,$2.80,$2.68
2024-12-12T22:10:48Z,3827,$2.80,$2.68
2024-12-13T02:10:22Z,3676,$2.99,$2.86
2024-12-13T02:10:49Z,3676,$2.99,$2.86
2024-12-13T06:10:24Z,3489,$3.00,$2.87
2024-12-13T06:10:51Z,3489,$3.00,$2.87
2024-12-13T10:10:26Z,3410,$2.84,$2.72
2024-12-13T10:10:52Z,3410,$2.84,$2.72
2024-12-13T14:10:29Z,3637,$2.91,$2.79
2024-12-13T14:10:53Z,3637,$2.91,$2.79
2024-12-13T18:10:32Z,3530,$2.82,$2.70
2024-12-13T18:10:55Z,3530,$2.82,$2.70
2024-12-13T18:49:41Z,3508,$2.89,$2.77
2024-12-13T18:49:43Z,3508,$2.89,$2.77
2024-12-13T22:49:47Z,3483,$2.85,$2.73
2024-12-13T22:49:47Z,3479,$2.92,$2.80
2024-12-13T22:49:47Z,3483,$2.85,$2.73
2024-12-13T22:49:47Z,3479,$2.92,$2.80
2024-12-14T02:49:49Z,3622,$2.87,$2.75
2024-12-14T02:49:49Z,3622,$2.87,$2.75
2024-12-14T06:49:51Z,3563,$2.96,$2.84
2024-12-14T06:49:51Z,3563,$2.96,$2.84
2024-12-14T10:49:53Z,3546,$3.01,$2.88
2024-12-14T10:49:53Z,3546,$3.01,$2.88
2024-12-14T14:49:56Z,3611,$2.99,$2.86
2024-12-14T14:49:56Z,3611,$2.99,$2.86
2024-12-14T18:49:58Z,3702,$2.81,$2.69
2024-12-14T18:49:58Z,3702,$2.81,$2.69
2024-12-14T22:50:00Z,3685,$2.99,$2.86
2024-12-14T22:50:00Z,3685,$2.99,$2.86
2024-12-15T02:50:02Z,3638,$3.00,$2.87
2024-12-15T02:50:02Z,3638,$3.00,$2.87
2024-12-15T06:50:04Z,3445,$2.94,$2.82
2024-12-15T06:50:04Z,3445,$2.94,$2.82
