Date,Listings,Sell Price,Buy Price
2024-12-11T01:15:57Z,48347,$0.86,$0.83
2024-12-11T12:47:15Z,48150,$0.87,$0.84
2024-12-11T13:38:59Z,48750,$0.82,$0.79
2024-12-11T13:38:59Z,48750,$0.82,$0.79
2024-12-11T13:39:24Z,48750,$0.82,$0.79
2024-12-11T13:39:58Z,48750,$0.82,$0.79
2024-12-11T13:40:04Z,48750,$0.82,$0.79
2024-12-11T13:46:56Z,48713,$0.82,$0.79
2024-12-11T13:46:59Z,48713,$0.82,$0.79
2024-12-11T13:47:43Z,48713,$0.82,$0.79
2024-12-11T13:50:04Z,48697,$0.85,$0.82
2024-12-11T13:50:04Z,48697,$0.85,$0.82
2024-12-11T13:52:56Z,48697,$0.85,$0.82
2024-12-11T13:53:01Z,48697,$0.85,$0.82
2024-12-11T13:53:49Z,48711,$0.82,$0.79
2024-12-11T13:54:08Z,48711,$0.82,$0.79
2024-12-11T13:56:20Z,48711,$0.82,$0.79
2024-12-11T14:36:06Z,49171,$0.86,$0.83
2024-12-11T14:36:06Z,49171,$0.86,$0.83
2024-12-11T14:39:03Z,49171,$0.86,$0.83
2024-12-11T14:39:04Z,49171,$0.86,$0.83
2024-12-11T14:43:24Z,49310,$0.85,$0.82
2024-12-11T14:43:24Z,49310,$0.85,$0.82
2024-12-11T14:48:52Z,49259,$0.86,$0.83
2024-12-11T14:48:53Z,49259,$0.86,$0.83
2024-12-11T14:58:41Z,49669,$0.87,$0.84
2024-12-11T14:58:41Z,49669,$0.87,$0.84
2024-12-11T16:10:56Z,50262,$0.86,$0.83
2024-12-11T16:10:56Z,50262,$0.86,$0.83
2024-12-11T20:10:58Z,49750,$0.83,$0.80
2024-12-11T20:10:59Z,49750,$0.83,$0.80
2024-12-12T00:11:01Z,49885,$0.84,$0.81
2024-12-12T00:11:01Z,49885,$0.84,$0.81
2024-12-12T04:11:03Z,49657,$0.85,$0.82
2024-12-12T04:11:03Z,49661,$0.86,$0.83
2024-12-12T04:11:03Z,49657,$0.85,$0.82
2024-12-12T08:11:04Z,49053,$0.85,$0.82
2024-12-12T08:11:04Z,49053,$0.85,$0.82
2024-12-12T12:11:07Z,52116,$0.86,$0.83
2024-12-12T12:11:07Z,52116,$0.86,$0.83
2024-12-12T16:11:09Z,52427,$0.86,$0.83
2024-12-12T16:11:09Z,52427,$0.86,$0.83
2024-12-12T18:10:18Z,51729,$0.86,$0.83
2024-12-12T18:10:18Z,51726,$0.86,$0.83
2024-12-12T18:10:46Z,51729,$0.86,$0.83
2024-12-12T18:10:46Z,51726,$0.86,$0.83
2024-12-12T22:10:20Z,50000,$0.86,$0.83
2024-12-12T22:10:48Z,50000,$0.86,$0.83
2024-12-13T02:10:22Z,49313,$0.87,$0.84
2024-12-13T02:10:49Z,49313,$0.87,$0.84
2024-12-13T06:10:24Z,48937,$0.87,$0.84
2024-12-13T06:10:51Z,48937,$0.87,$0.84
2024-12-13T10:10:26Z,50387,$0.83,$0.80
2024-12-13T10:10:52Z,50387,$0.83,$0.80
2024-12-13T14:10:29Z,51143,$0.83,$0.80
2024-12-13T14:10:53Z,51143,$0.83,$0.80
2024-12-13T18:10:32Z,51649,$0.83,$0.80
2024-12-13T18:10:55Z,51649,$0.83,$0.80
2024-12-13T18:49:41Z,51469,$0.86,$0.83
2024-12-13T18:49:43Z,51469,$0.86,$0.83
2024-12-13T22:49:47Z,48792,$0.88,$0.85
2024-12-13T22:49:47Z,48792,$0.88,$0.85
2024-12-14T02:49:49Z,48742,$0.87,$0.84
2024-12-14T02:49:49Z,48742,$0.87,$0.84
2024-12-14T06:49:51Z,48776,$0.86,$0.83
2024-12-14T06:49:51Z,48776,$0.86,$0.83
2024-12-14T10:49:53Z,49982,$0.85,$0.82
2024-12-14T10:49:53Z,49982,$0.85,$0.82
2024-12-14T14:49:56Z,49668,$0.81,$0.78
2024-12-14T14:49:56Z,49668,$0.81,$0.78
2024-12-14T18:49:58Z,49007,$0.85,$0.82
2024-12-14T18:49:58Z,49007,$0.85,$0.82
2024-12-14T22:50:00Z,49012,$0.86,$0.83
2024-12-14T22:50:00Z,49012,$0.86,$0.83
2024-12-15T02:50:02Z,48634,$0.87,$0.84
2024-12-15T02:50:02Z,48634,$0.87,$0.84
2024-12-15T06:50:04Z,47660,$0.85,$0.82
2024-12-15T06:50:04Z,47660,$0.85,$0.82
2024-12-15T10:50:06Z,47491,$0.86,$0.83
2024-12-15T10:50:07Z,47491,$0.86,$0.83
2024-12-15T13:32:29Z,48216,$0.84,$0.81
2024-12-15T13:32:30Z,48216,$0.84,$0.81
2024-12-15T13:32:29Z,48219,$0.84,$0.81
2024-12-15T13:32:30Z,48219,$0.84,$0.81
2024-12-15T13:55:56Z,48669,$0.84,$0.81
2024-12-15T13:55:53Z,48669,$0.84,$0.81
2024-12-15T17:55:59Z,49588,$0.87,$0.84
2024-12-15T17:55:59Z,49588,$0.87,$0.84
2024-12-15T21:56:01Z,51569,$0.82,$0.79
2024-12-15T21:56:01Z,51569,$0.82,$0.79
2024-12-16T01:56:03Z,51096,$0.87,$0.84
2024-12-16T01:56:03Z,51096,$0.87,$0.84
2024-12-16T05:56:05Z,51013,$0.86,$0.83
2024-12-16T05:56:05Z,51013,$0.86,$0.83
2024-12-16T09:56:07Z,52006,$0.85,$0.82
2024-12-16T09:56:07Z,52006,$0.85,$0.82
2024-12-16T13:56:10Z,53142,$0.84,$0.81
2024-12-16T13:56:10Z,53142,$0.84,$0.81
2024-12-16T17:56:12Z,54704,$0.85,$0.82
2024-12-16T17:56:12Z,54704,$0.85,$0.82
2024-12-16T21:56:14Z,54271,$0.86,$0.83
2024-12-16T21:56:14Z,54271,$0.86,$0.83
2024-12-17T01:56:16Z,53588,$0.86,$0.83
2024-12-17T01:56:16Z,53588,$0.86,$0.83
2024-12-17T02:14:53Z,53619,$0.84,$0.81
2024-12-17T02:14:54Z,53619,$0.84,$0.81
2024-12-17T02:17:25Z,53619,$0.84,$0.81
2024-12-17T02:17:26Z,53619,$0.84,$0.81
2024-12-17T02:20:48Z,53603,$0.86,$0.83
2024-12-17T02:20:48Z,53603,$0.86,$0.83
2024-12-17T02:20:59Z,53603,$0.86,$0.83
2024-12-17T02:21:00Z,53603,$0.86,$0.83
2024-12-17T02:28:18Z,53514,$0.86,$0.83
2024-12-17T02:28:18Z,53514,$0.86,$0.83
2024-12-17T06:28:20Z,55654,$0.87,$0.84
2024-12-17T06:28:20Z,55654,$0.87,$0.84
2024-12-17T10:28:22Z,56109,$0.83,$0.80
2024-12-17T10:28:22Z,56109,$0.83,$0.80
2024-12-17T14:28:24Z,56591,$0.86,$0.83
2024-12-17T14:28:24Z,56592,$0.86,$0.83
2024-12-17T18:28:26Z,56643,$0.86,$0.83
2024-12-17T18:28:27Z,56643,$0.86,$0.83
2024-12-17T22:28:28Z,55638,$0.85,$0.82
2024-12-18T02:28:32Z,55641,$0.86,$0.83
2024-12-18T02:28:32Z,55641,$0.86,$0.83
2024-12-18T06:28:34Z,54526,$0.86,$0.83
