Date,Listings,Sell Price,Buy Price
2024-12-11T01:15:57Z,39993,$0.83,$0.80
2024-12-11T12:47:15Z,42430,$0.78,$0.75
2024-12-11T13:38:59Z,42326,$0.78,$0.75
2024-12-11T13:38:59Z,42326,$0.78,$0.75
2024-12-11T13:39:24Z,42326,$0.78,$0.75
2024-12-11T13:39:58Z,42326,$0.78,$0.75
2024-12-11T13:40:04Z,42326,$0.78,$0.75
2024-12-11T13:46:56Z,42406,$0.81,$0.78
2024-12-11T13:46:59Z,42406,$0.81,$0.78
2024-12-11T13:47:43Z,42406,$0.81,$0.78
2024-12-11T13:50:04Z,42504,$0.82,$0.79
2024-12-11T13:50:04Z,42504,$0.82,$0.79
2024-12-11T13:52:56Z,42504,$0.82,$0.79
2024-12-11T13:53:01Z,42504,$0.82,$0.79
2024-12-11T13:53:49Z,42490,$0.82,$0.79
2024-12-11T13:54:08Z,42490,$0.82,$0.79
2024-12-11T13:56:20Z,42490,$0.82,$0.79
2024-12-11T14:36:06Z,42920,$0.80,$0.77
2024-12-11T14:36:06Z,42920,$0.80,$0.77
2024-12-11T14:39:03Z,42920,$0.80,$0.77
2024-12-11T14:39:04Z,42920,$0.80,$0.77
2024-12-11T14:43:24Z,42925,$0.81,$0.78
2024-12-11T14:43:24Z,42925,$0.81,$0.78
2024-12-11T14:48:52Z,42918,$0.81,$0.78
2024-12-11T14:48:53Z,42918,$0.81,$0.78
2024-12-11T14:58:41Z,42896,$0.78,$0.75
2024-12-11T14:58:41Z,42896,$0.78,$0.75
2024-12-11T16:10:56Z,42685,$0.77,$0.74
2024-12-11T16:10:56Z,42685,$0.77,$0.74
2024-12-11T20:10:58Z,44273,$0.82,$0.79
2024-12-11T20:10:59Z,44273,$0.82,$0.79
2024-12-12T00:11:01Z,44385,$0.81,$0.78
2024-12-12T00:11:01Z,44385,$0.81,$0.78
2024-12-12T04:11:03Z,43796,$0.80,$0.77
2024-12-12T04:11:03Z,43796,$0.80,$0.77
2024-12-12T04:11:03Z,43796,$0.80,$0.77
2024-12-12T08:11:04Z,44475,$0.78,$0.75
2024-12-12T08:11:04Z,44475,$0.78,$0.75
2024-12-12T12:11:07Z,44610,$0.82,$0.79
2024-12-12T12:11:07Z,44610,$0.82,$0.79
2024-12-12T16:11:09Z,45359,$0.80,$0.77
2024-12-12T16:11:09Z,45359,$0.80,$0.77
2024-12-12T18:10:18Z,45376,$0.81,$0.78
2024-12-12T18:10:46Z,45376,$0.81,$0.78
2024-12-12T22:10:20Z,44766,$0.82,$0.79
2024-12-12T22:10:48Z,44766,$0.82,$0.79
2024-12-13T02:10:22Z,44668,$0.81,$0.78
2024-12-13T02:10:49Z,44668,$0.81,$0.78
2024-12-13T02:10:49Z,44669,$0.81,$0.78
2024-12-13T06:10:24Z,44424,$0.81,$0.78
2024-12-13T06:10:51Z,44424,$0.81,$0.78
