Date,Listings,Sell Price,Buy Price
2024-12-11T01:15:57Z,102141,$0.50,$0.48
2024-12-11T12:47:15Z,105071,$0.47,$0.45
2024-12-11T13:38:59Z,106098,$0.47,$0.45
2024-12-11T13:38:59Z,106098,$0.47,$0.45
2024-12-11T13:39:24Z,106098,$0.47,$0.45
2024-12-11T13:39:58Z,106098,$0.47,$0.45
2024-12-11T13:40:04Z,106098,$0.47,$0.45
2024-12-11T13:46:56Z,106285,$0.47,$0.45
2024-12-11T13:46:59Z,106285,$0.47,$0.45
2024-12-11T13:47:43Z,106285,$0.47,$0.45
2024-12-11T13:50:04Z,106367,$0.47,$0.45
2024-12-11T13:50:04Z,106367,$0.47,$0.45
2024-12-11T13:52:56Z,106367,$0.47,$0.45
2024-12-11T13:53:01Z,106367,$0.47,$0.45
2024-12-11T13:53:49Z,106451,$0.47,$0.45
2024-12-11T13:54:08Z,106451,$0.47,$0.45
2024-12-11T13:56:20Z,106451,$0.47,$0.45
2024-12-11T14:36:06Z,107331,$0.47,$0.45
2024-12-11T14:36:06Z,107331,$0.47,$0.45
2024-12-11T14:39:03Z,107331,$0.47,$0.45
2024-12-11T14:39:04Z,107331,$0.47,$0.45
2024-12-11T14:43:24Z,107337,$0.47,$0.45
2024-12-11T14:43:24Z,107337,$0.47,$0.45
2024-12-11T14:48:52Z,107279,$0.47,$0.45
2024-12-11T14:48:53Z,107279,$0.47,$0.45
2024-12-11T14:58:41Z,107469,$0.47,$0.45
2024-12-11T14:58:41Z,107469,$0.47,$0.45
2024-12-11T16:10:56Z,109233,$0.46,$0.44
2024-12-11T16:10:56Z,109233,$0.46,$0.44
2024-12-11T20:10:58Z,111400,$0.47,$0.45
2024-12-11T20:10:59Z,111400,$0.47,$0.45
2024-12-12T00:11:01Z,112552,$0.48,$0.46
2024-12-12T00:11:01Z,112552,$0.48,$0.46
2024-12-12T04:11:03Z,110572,$0.48,$0.46
2024-12-12T04:11:03Z,110569,$0.48,$0.46
2024-12-12T08:11:04Z,108084,$0.47,$0.45
2024-12-12T08:11:04Z,108084,$0.47,$0.45
2024-12-12T12:11:07Z,109446,$0.47,$0.45
2024-12-12T12:11:07Z,109446,$0.47,$0.45
2024-12-12T16:11:09Z,111903,$0.47,$0.45
2024-12-12T16:11:09Z,111903,$0.47,$0.45
2024-12-12T18:10:18Z,112501,$0.47,$0.45
2024-12-12T18:10:46Z,112501,$0.47,$0.45
2024-12-12T22:10:20Z,115349,$0.48,$0.46
2024-12-12T22:10:48Z,115349,$0.48,$0.46
2024-12-13T02:10:22Z,113932,$0.48,$0.46
2024-12-13T02:10:49Z,113939,$0.49,$0.47
2024-12-13T06:10:24Z,110508,$0.49,$0.47
2024-12-13T06:10:51Z,110508,$0.49,$0.47
2024-12-13T10:10:26Z,109350,$0.48,$0.46
2024-12-13T10:10:52Z,109350,$0.48,$0.46
2024-12-13T14:10:29Z,110652,$0.47,$0.45
2024-12-13T14:10:53Z,110652,$0.47,$0.45
2024-12-13T18:10:32Z,113595,$0.50,$0.48
2024-12-13T18:10:55Z,113595,$0.50,$0.48
2024-12-13T18:49:41Z,114212,$0.47,$0.45
2024-12-13T18:49:43Z,114212,$0.47,$0.45
2024-12-14T02:49:49Z,117367,$0.51,$0.49
2024-12-14T02:49:49Z,117367,$0.51,$0.49
2024-12-14T06:49:51Z,115144,$0.51,$0.49
2024-12-14T06:49:51Z,115144,$0.51,$0.49
2024-12-14T10:49:53Z,112729,$0.48,$0.46
2024-12-14T10:49:53Z,112729,$0.48,$0.46
2024-12-14T14:49:56Z,117120,$0.47,$0.45
2024-12-14T14:49:56Z,117120,$0.47,$0.45
2024-12-14T18:49:58Z,118796,$0.47,$0.45
2024-12-14T18:49:58Z,118796,$0.47,$0.45
2024-12-14T22:50:00Z,121758,$0.49,$0.47
2024-12-14T22:50:00Z,121758,$0.49,$0.47
2024-12-15T02:50:02Z,120277,$0.49,$0.47
2024-12-15T02:50:02Z,120277,$0.49,$0.47
2024-12-15T06:50:04Z,117081,$0.49,$0.47
2024-12-15T06:50:04Z,117081,$0.49,$0.47
2024-12-15T10:50:06Z,122601,$0.46,$0.44
2024-12-15T10:50:07Z,122601,$0.46,$0.44
2024-12-15T13:32:29Z,127695,$0.46,$0.44
2024-12-15T13:32:30Z,127695,$0.46,$0.44
2024-12-15T13:55:56Z,127448,$0.46,$0.44
2024-12-15T13:55:53Z,127448,$0.46,$0.44
2024-12-15T17:55:59Z,130352,$0.47,$0.45
2024-12-15T17:55:59Z,130352,$0.47,$0.45
2024-12-16T01:56:03Z,135225,$0.47,$0.45
2024-12-16T01:56:03Z,135225,$0.47,$0.45
2024-12-16T05:56:05Z,132477,$0.51,$0.49
2024-12-16T05:56:05Z,132477,$0.51,$0.49
2024-12-16T09:56:07Z,132258,$0.48,$0.46
2024-12-16T09:56:07Z,132258,$0.48,$0.46
2024-12-16T09:56:07Z,132261,$0.48,$0.46
2024-12-16T13:56:10Z,138651,$0.49,$0.47
2024-12-16T13:56:10Z,138651,$0.49,$0.47
2024-12-16T17:56:12Z,142054,$0.47,$0.45
2024-12-16T17:56:12Z,142054,$0.47,$0.45
2024-12-16T21:56:14Z,145312,$0.46,$0.44
2024-12-16T21:56:14Z,145312,$0.46,$0.44
2024-12-17T01:56:16Z,144775,$0.47,$0.45
2024-12-17T01:56:16Z,144775,$0.47,$0.45
2024-12-17T02:20:48Z,144312,$0.48,$0.46
2024-12-17T02:20:48Z,144312,$0.48,$0.46
2024-12-17T02:20:59Z,144312,$0.48,$0.46
2024-12-17T02:21:00Z,144312,$0.48,$0.46
2024-12-17T02:28:18Z,144892,$0.46,$0.44
2024-12-17T02:28:18Z,144892,$0.46,$0.44
2024-12-17T06:28:20Z,139550,$0.50,$0.48
2024-12-17T06:28:20Z,139550,$0.50,$0.48
2024-12-17T10:28:22Z,138419,$0.48,$0.46
2024-12-17T10:28:22Z,138419,$0.48,$0.46
2024-12-17T10:28:22Z,138419,$0.48,$0.46
2024-12-17T14:28:24Z,139787,$0.47,$0.45
2024-12-17T14:28:24Z,139785,$0.47,$0.45
