Date,Listings,Sell Price,Buy Price
2024-12-11T01:15:57Z,8498,$2.49,$2.39
2024-12-11T12:47:15Z,8327,$2.45,$2.35
2024-12-11T13:38:59Z,8340,$2.34,$2.24
2024-12-11T13:38:59Z,8340,$2.34,$2.24
2024-12-11T13:39:24Z,8340,$2.34,$2.24
2024-12-11T13:39:58Z,8340,$2.34,$2.24
2024-12-11T13:40:04Z,8340,$2.34,$2.24
2024-12-11T13:46:56Z,8340,$2.35,$2.25
2024-12-11T13:46:59Z,8340,$2.35,$2.25
2024-12-11T13:47:43Z,8340,$2.35,$2.25
2024-12-11T13:50:04Z,8375,$2.35,$2.25
2024-12-11T13:50:04Z,8375,$2.35,$2.25
2024-12-11T13:52:56Z,8375,$2.35,$2.25
2024-12-11T13:53:01Z,8375,$2.35,$2.25
2024-12-11T13:53:49Z,8374,$2.35,$2.25
2024-12-11T13:54:08Z,8374,$2.35,$2.25
2024-12-11T13:56:20Z,8374,$2.35,$2.25
2024-12-11T14:36:06Z,8385,$2.34,$2.24
2024-12-11T14:36:06Z,8385,$2.34,$2.24
2024-12-11T14:39:03Z,8385,$2.34,$2.24
2024-12-11T14:39:04Z,8385,$2.34,$2.24
2024-12-11T14:43:24Z,8380,$2.35,$2.25
2024-12-11T14:43:24Z,8380,$2.35,$2.25
2024-12-11T14:48:52Z,8380,$2.35,$2.25
2024-12-11T14:48:53Z,8380,$2.35,$2.25
2024-12-11T14:58:41Z,8380,$2.36,$2.26
2024-12-11T14:58:41Z,8380,$2.36,$2.26
2024-12-11T16:10:56Z,8361,$2.45,$2.35
2024-12-11T16:10:56Z,8361,$2.45,$2.35
2024-12-11T20:10:58Z,8720,$2.34,$2.24
2024-12-11T20:10:59Z,8720,$2.34,$2.24
2024-12-12T00:11:01Z,8796,$2.41,$2.31
2024-12-12T00:11:01Z,8796,$2.41,$2.31
2024-12-12T04:11:03Z,8999,$2.48,$2.38
2024-12-12T04:11:03Z,8999,$2.48,$2.38
2024-12-12T08:11:04Z,8877,$2.39,$2.29
2024-12-12T08:11:04Z,8877,$2.39,$2.29
2024-12-12T12:11:07Z,9423,$2.33,$2.23
2024-12-12T12:11:07Z,9423,$2.33,$2.23
2024-12-12T16:11:09Z,9899,$2.39,$2.29
2024-12-12T16:11:09Z,9899,$2.39,$2.29
2024-12-12T22:10:20Z,9643,$2.37,$2.27
2024-12-12T22:10:48Z,9643,$2.37,$2.27
2024-12-13T02:10:22Z,9275,$2.33,$2.23
2024-12-13T02:10:49Z,9275,$2.33,$2.23
2024-12-13T06:10:24Z,9156,$2.35,$2.25
2024-12-13T06:10:51Z,9156,$2.35,$2.25
2024-12-13T10:10:26Z,8703,$2.39,$2.29
2024-12-13T10:10:52Z,8703,$2.39,$2.29
2024-12-13T14:10:29Z,9491,$2.47,$2.37
2024-12-13T14:10:53Z,9491,$2.47,$2.37
2024-12-13T18:10:32Z,9743,$2.49,$2.39
2024-12-13T18:10:55Z,9743,$2.49,$2.39
2024-12-13T18:49:41Z,9672,$2.39,$2.29
2024-12-13T18:49:43Z,9672,$2.39,$2.29
2024-12-14T02:49:49Z,10119,$2.48,$2.38
2024-12-14T02:49:49Z,10119,$2.48,$2.38
2024-12-14T06:49:51Z,10306,$2.48,$2.38
2024-12-14T06:49:51Z,10306,$2.48,$2.38
2024-12-14T10:49:53Z,11033,$2.35,$2.25
2024-12-14T10:49:53Z,11033,$2.35,$2.25
2024-12-14T14:49:56Z,11642,$2.35,$2.25
2024-12-14T14:49:56Z,11642,$2.35,$2.25
2024-12-14T18:49:58Z,11540,$2.45,$2.35
2024-12-14T18:49:58Z,11540,$2.45,$2.35
2024-12-14T22:50:00Z,11209,$2.45,$2.35
2024-12-14T22:50:00Z,11209,$2.45,$2.35
2024-12-15T02:50:02Z,10722,$2.46,$2.36
2024-12-15T02:50:02Z,10722,$2.46,$2.36
2024-12-15T06:50:04Z,10289,$2.47,$2.37
2024-12-15T06:50:04Z,10289,$2.47,$2.37
2024-12-15T10:50:06Z,10462,$2.46,$2.36
2024-12-15T10:50:07Z,10462,$2.46,$2.36
2024-12-15T13:32:30Z,11215,$2.32,$2.22
2024-12-15T13:32:29Z,11215,$2.32,$2.22
2024-12-15T13:55:56Z,11217,$2.33,$2.23
2024-12-15T13:55:53Z,11217,$2.33,$2.23
2024-12-15T17:55:59Z,10922,$2.46,$2.36
2024-12-15T17:55:59Z,10922,$2.46,$2.36
2024-12-15T21:56:01Z,11456,$2.32,$2.22
2024-12-15T21:56:01Z,11456,$2.32,$2.22
