Date,Listings,Sell Price,Buy Price
2024-12-11T01:15:57Z,12009,$1.17,$1.12
2024-12-11T12:47:15Z,12215,$1.17,$1.12
2024-12-11T13:38:59Z,12233,$1.09,$1.05
2024-12-11T13:38:59Z,12233,$1.09,$1.05
2024-12-11T13:39:24Z,12233,$1.09,$1.05
2024-12-11T13:39:58Z,12233,$1.09,$1.05
2024-12-11T13:40:04Z,12233,$1.09,$1.05
2024-12-11T13:46:56Z,12229,$1.11,$1.07
2024-12-11T13:46:59Z,12229,$1.11,$1.07
2024-12-11T13:47:43Z,12229,$1.11,$1.07
2024-12-11T13:50:04Z,12232,$1.11,$1.07
2024-12-11T13:50:04Z,12232,$1.11,$1.07
2024-12-11T13:52:56Z,12232,$1.11,$1.07
2024-12-11T13:53:01Z,12232,$1.11,$1.07
2024-12-11T13:53:49Z,12231,$1.11,$1.07
2024-12-11T13:54:08Z,12231,$1.11,$1.07
2024-12-11T13:56:20Z,12231,$1.11,$1.07
2024-12-11T14:36:06Z,12230,$1.16,$1.11
2024-12-11T14:36:06Z,12230,$1.16,$1.11
2024-12-11T14:39:03Z,12230,$1.16,$1.11
2024-12-11T14:39:04Z,12230,$1.16,$1.11
2024-12-11T14:43:24Z,12228,$1.10,$1.06
2024-12-11T14:43:24Z,12228,$1.10,$1.06
2024-12-11T14:48:52Z,12230,$1.12,$1.08
2024-12-11T14:48:53Z,12230,$1.12,$1.08
2024-12-11T14:58:41Z,12206,$1.17,$1.12
2024-12-11T14:58:41Z,12206,$1.17,$1.12
2024-12-11T20:10:58Z,12222,$1.17,$1.12
2024-12-11T20:10:59Z,12222,$1.17,$1.12
2024-12-12T00:11:01Z,11895,$1.11,$1.07
2024-12-12T00:11:01Z,11895,$1.11,$1.07
2024-12-12T04:11:03Z,12037,$1.17,$1.12
2024-12-12T04:11:03Z,12037,$1.17,$1.12
2024-12-12T08:11:04Z,11947,$1.15,$1.10
2024-12-12T08:11:04Z,11947,$1.15,$1.10
2024-12-12T12:11:07Z,11989,$1.10,$1.06
2024-12-12T12:11:07Z,11989,$1.10,$1.06
2024-12-12T16:11:09Z,12026,$1.12,$1.08
2024-12-12T16:11:09Z,12026,$1.12,$1.08
2024-12-12T22:10:20Z,12451,$1.17,$1.12
2024-12-12T22:10:48Z,12451,$1.17,$1.12
2024-12-13T02:10:22Z,12216,$1.17,$1.12
2024-12-13T02:10:49Z,12216,$1.17,$1.12
2024-12-13T06:10:24Z,12198,$1.17,$1.12
2024-12-13T06:10:51Z,12198,$1.17,$1.12
2024-12-13T10:10:26Z,12187,$1.09,$1.05
2024-12-13T10:10:52Z,12187,$1.09,$1.05
2024-12-13T14:10:29Z,12515,$1.17,$1.12
2024-12-13T14:10:53Z,12515,$1.17,$1.12
2024-12-13T18:10:32Z,12597,$1.17,$1.12
2024-12-13T18:10:55Z,12597,$1.17,$1.12
2024-12-13T18:49:41Z,12573,$1.16,$1.11
2024-12-13T18:49:43Z,12573,$1.16,$1.11
2024-12-13T22:49:47Z,12316,$1.17,$1.12
2024-12-13T22:49:47Z,12316,$1.17,$1.12
2024-12-14T02:49:49Z,12368,$1.17,$1.12
2024-12-14T02:49:49Z,12368,$1.17,$1.12
2024-12-14T06:49:51Z,12342,$1.17,$1.12
2024-12-14T06:49:51Z,12342,$1.17,$1.12
2024-12-14T10:49:53Z,12640,$1.17,$1.12
2024-12-14T10:49:53Z,12640,$1.17,$1.12
2024-12-14T14:49:56Z,12814,$1.16,$1.11
2024-12-14T14:49:56Z,12814,$1.16,$1.11
