Date,Listings,Sell Price,Buy Price
2024-12-11T01:15:57Z,18606,$2.49,$2.39
2024-12-11T12:47:15Z,17840,$2.44,$2.34
2024-12-11T13:38:59Z,17750,$2.48,$2.38
2024-12-11T13:38:59Z,17750,$2.48,$2.38
2024-12-11T13:39:24Z,17750,$2.48,$2.38
2024-12-11T13:39:58Z,17750,$2.48,$2.38
2024-12-11T13:40:04Z,17750,$2.48,$2.38
2024-12-11T13:46:56Z,17762,$2.42,$2.32
2024-12-11T13:46:59Z,17762,$2.42,$2.32
2024-12-11T13:47:43Z,17762,$2.42,$2.32
2024-12-11T13:50:04Z,17782,$2.42,$2.32
2024-12-11T13:50:04Z,17782,$2.42,$2.32
2024-12-11T13:52:56Z,17782,$2.42,$2.32
2024-12-11T13:53:01Z,17782,$2.42,$2.32
2024-12-11T13:53:49Z,17783,$2.41,$2.31
2024-12-11T13:54:08Z,17783,$2.41,$2.31
2024-12-11T13:56:20Z,17783,$2.41,$2.31
2024-12-11T14:36:06Z,17799,$2.48,$2.38
2024-12-11T14:36:06Z,17799,$2.48,$2.38
2024-12-11T14:39:03Z,17799,$2.48,$2.38
2024-12-11T14:39:04Z,17799,$2.48,$2.38
2024-12-11T14:43:24Z,17764,$2.34,$2.24
2024-12-11T14:43:24Z,17764,$2.34,$2.24
2024-12-11T14:48:52Z,17767,$2.42,$2.32
2024-12-11T14:48:53Z,17767,$2.42,$2.32
2024-12-11T14:58:41Z,17799,$2.34,$2.24
2024-12-11T14:58:41Z,17799,$2.34,$2.24
2024-12-11T16:10:56Z,17781,$2.46,$2.36
2024-12-11T16:10:56Z,17781,$2.46,$2.36
2024-12-11T20:10:58Z,18009,$2.46,$2.36
2024-12-11T20:10:59Z,18009,$2.46,$2.36
2024-12-12T00:11:01Z,17587,$2.30,$2.20
2024-12-12T00:11:01Z,17587,$2.30,$2.20
2024-12-12T04:11:03Z,17117,$2.49,$2.39
2024-12-12T04:11:03Z,17117,$2.49,$2.39
2024-12-12T08:11:04Z,16942,$2.49,$2.39
2024-12-12T08:11:04Z,16942,$2.49,$2.39
2024-12-12T12:11:07Z,17792,$2.49,$2.39
2024-12-12T12:11:07Z,17792,$2.49,$2.39
2024-12-12T16:11:09Z,18103,$2.38,$2.28
2024-12-12T16:11:09Z,18103,$2.38,$2.28
2024-12-12T18:10:18Z,18617,$2.30,$2.20
2024-12-12T18:10:46Z,18617,$2.30,$2.20
2024-12-12T22:10:20Z,19275,$2.48,$2.38
2024-12-12T22:10:48Z,19275,$2.48,$2.38
2024-12-13T02:10:22Z,19097,$2.44,$2.34
2024-12-13T02:10:49Z,19097,$2.44,$2.34
2024-12-13T06:10:24Z,19151,$2.45,$2.35
2024-12-13T06:10:51Z,19151,$2.45,$2.35
2024-12-13T10:10:26Z,19007,$2.41,$2.31
2024-12-13T10:10:52Z,19007,$2.41,$2.31
2024-12-13T14:10:29Z,19183,$2.43,$2.33
2024-12-13T14:10:53Z,19183,$2.43,$2.33
2024-12-13T18:10:32Z,19813,$2.47,$2.37
2024-12-13T18:10:55Z,19813,$2.47,$2.37
2024-12-13T18:49:41Z,20101,$2.47,$2.37
2024-12-13T18:49:43Z,20101,$2.47,$2.37
2024-12-13T22:49:47Z,19279,$2.49,$2.39
2024-12-13T22:49:47Z,19279,$2.49,$2.39
2024-12-14T02:49:49Z,18866,$2.48,$2.38
2024-12-14T02:49:49Z,18866,$2.48,$2.38
2024-12-14T06:49:51Z,18304,$2.43,$2.33
2024-12-14T06:49:51Z,18304,$2.43,$2.33
2024-12-14T10:49:53Z,17875,$2.46,$2.36
2024-12-14T10:49:53Z,17875,$2.46,$2.36
2024-12-14T14:49:56Z,19962,$2.46,$2.36
2024-12-14T14:49:56Z,19962,$2.46,$2.36
2024-12-14T18:49:58Z,19531,$2.47,$2.37
2024-12-14T18:49:58Z,19531,$2.47,$2.37
2024-12-14T22:50:00Z,19091,$2.35,$2.25
2024-12-14T22:50:00Z,19091,$2.35,$2.25
2024-12-15T02:50:02Z,18091,$2.50,$2.40
2024-12-15T02:50:02Z,18091,$2.50,$2.40
2024-12-15T06:50:04Z,17339,$2.50,$2.40
2024-12-15T06:50:04Z,17339,$2.50,$2.40
2024-12-15T10:50:06Z,17920,$2.37,$2.27
2024-12-15T10:50:07Z,17920,$2.37,$2.27
2024-12-15T13:32:29Z,17968,$2.46,$2.36
2024-12-15T13:32:30Z,17968,$2.46,$2.36
2024-12-15T13:55:53Z,18301,$2.50,$2.40
2024-12-15T13:55:56Z,18301,$2.50,$2.40
2024-12-15T17:55:59Z,19349,$2.39,$2.29
2024-12-15T17:55:59Z,19349,$2.39,$2.29
2024-12-15T21:56:01Z,20046,$2.49,$2.39
2024-12-15T21:56:01Z,20046,$2.49,$2.39
2024-12-16T01:56:03Z,19788,$2.50,$2.40
2024-12-16T01:56:03Z,19788,$2.50,$2.40
2024-12-16T05:56:05Z,19124,$2.49,$2.39
2024-12-16T05:56:05Z,19124,$2.49,$2.39
2024-12-16T09:56:07Z,19393,$2.33,$2.23
2024-12-16T09:56:07Z,19393,$2.33,$2.23
2024-12-16T13:56:10Z,18541,$2.50,$2.40
2024-12-16T13:56:10Z,18541,$2.50,$2.40
2024-12-16T17:56:12Z,17757,$2.41,$2.31
2024-12-16T17:56:12Z,17757,$2.41,$2.31
2024-12-16T21:56:14Z,15792,$2.53,$2.42
2024-12-16T21:56:14Z,15792,$2.53,$2.42
2024-12-17T01:56:16Z,15542,$2.36,$2.26
2024-12-17T01:56:16Z,15542,$2.36,$2.26
2024-12-17T01:56:16Z,15542,$2.36,$2.26
2024-12-17T02:20:48Z,15504,$2.46,$2.36
2024-12-17T02:20:48Z,15504,$2.46,$2.36
2024-12-17T02:20:59Z,15504,$2.46,$2.36
2024-12-17T02:21:00Z,15504,$2.46,$2.36
2024-12-17T02:28:18Z,15503,$2.47,$2.37
2024-12-17T02:28:18Z,15503,$2.47,$2.37
2024-12-17T06:28:20Z,14942,$2.53,$2.42
2024-12-17T06:28:20Z,14942,$2.53,$2.42
2024-12-17T10:28:22Z,15107,$2.42,$2.32
2024-12-17T10:28:22Z,15107,$2.42,$2.32
2024-12-17T14:28:24Z,15150,$2.46,$2.36
2024-12-17T14:28:24Z,15150,$2.46,$2.36
2024-12-17T14:28:24Z,15150,$2.46,$2.36
2024-12-17T18:28:26Z,15554,$2.38,$2.28
2024-12-17T18:28:27Z,15554,$2.38,$2.28
2024-12-17T22:28:28Z,17209,$2.50,$2.40
2024-12-18T02:28:32Z,17528,$2.48,$2.38
2024-12-18T02:28:32Z,17528,$2.48,$2.38
2024-12-18T06:28:34Z,16486,$2.53,$2.42
2024-12-18T06:28:34Z,16486,$2.53,$2.42
2024-12-18T10:28:36Z,16220,$2.41,$2.31
2024-12-18T10:28:36Z,16220,$2.41,$2.31
2024-12-18T14:28:39Z,16280,$2.33,$2.23
2024-12-18T18:28:42Z,16400,$2.32,$2.22
2024-12-18T18:28:42Z,16400,$2.32,$2.22
2024-12-18T18:28:42Z,16400,$2.32,$2.22
2024-12-18T22:28:44Z,15955,$2.50,$2.40
2024-12-18T22:28:44Z,15955,$2.50,$2.40
2024-12-18T22:28:44Z,15955,$2.50,$2.40
2024-12-19T02:28:46Z,15674,$2.48,$2.38
2024-12-19T02:28:46Z,15674,$2.48,$2.38
2024-12-19T06:28:47Z,14921,$2.55,$2.44
2024-12-19T06:28:47Z,14921,$2.55,$2.44
2024-12-19T06:28:47Z,14921,$2.55,$2.44
2024-12-19T10:28:49Z,15379,$2.37,$2.27
2024-12-19T10:28:49Z,15379,$2.37,$2.27
2024-12-19T14:28:52Z,15558,$2.30,$2.20
2024-12-19T14:28:53Z,15558,$2.30,$2.20
2024-12-19T18:28:54Z,15776,$2.48,$2.38
2024-12-19T18:28:54Z,15776,$2.48,$2.38
2024-12-19T22:28:56Z,16815,$2.47,$2.37
2024-12-19T22:28:56Z,16815,$2.47,$2.37
2024-12-20T06:35:54Z,16347,$2.38,$2.28
2024-12-20T06:35:53Z,16347,$2.38,$2.28
2024-12-20T10:35:55Z,16535,$2.35,$2.25
2024-12-20T10:35:55Z,16535,$2.35,$2.25
