Date,Listings,Sell Price,Buy Price
2024-12-11T01:15:57Z,5964,$4.06,$3.89
2024-12-11T12:47:15Z,5954,$3.82,$3.66
2024-12-11T13:38:59Z,6000,$3.79,$3.63
2024-12-11T13:38:59Z,6000,$3.79,$3.63
2024-12-11T13:39:24Z,6000,$3.79,$3.63
2024-12-11T13:39:58Z,6000,$3.79,$3.63
2024-12-11T13:40:04Z,6000,$3.79,$3.63
2024-12-11T13:46:56Z,6001,$3.80,$3.64
2024-12-11T13:46:59Z,6001,$3.80,$3.64
2024-12-11T13:47:43Z,6001,$3.80,$3.64
2024-12-11T13:50:04Z,6006,$3.80,$3.64
2024-12-11T13:50:04Z,6006,$3.80,$3.64
2024-12-11T13:52:56Z,6006,$3.80,$3.64
2024-12-11T13:53:01Z,6006,$3.80,$3.64
2024-12-11T13:53:49Z,6010,$3.80,$3.64
2024-12-11T13:54:08Z,6010,$3.80,$3.64
2024-12-11T13:56:20Z,6010,$3.80,$3.64
2024-12-11T14:36:06Z,5958,$3.86,$3.70
2024-12-11T14:36:06Z,5958,$3.86,$3.70
2024-12-11T14:39:03Z,5958,$3.86,$3.70
2024-12-11T14:39:04Z,5958,$3.86,$3.70
2024-12-11T14:43:24Z,5950,$4.09,$3.92
2024-12-11T14:43:24Z,5950,$4.09,$3.92
2024-12-11T14:48:52Z,5954,$3.88,$3.72
2024-12-11T14:48:53Z,5954,$3.88,$3.72
2024-12-11T14:58:41Z,5958,$3.88,$3.72
2024-12-11T14:58:41Z,5958,$3.88,$3.72
2024-12-11T16:10:56Z,5951,$3.82,$3.66
2024-12-11T16:10:56Z,5951,$3.82,$3.66
2024-12-11T20:10:58Z,6082,$3.88,$3.72
2024-12-11T20:10:59Z,6082,$3.88,$3.72
2024-12-12T00:11:01Z,5871,$3.84,$3.68
2024-12-12T00:11:01Z,5871,$3.84,$3.68
2024-12-12T04:11:03Z,5786,$3.82,$3.66
2024-12-12T04:11:03Z,5786,$3.82,$3.66
2024-12-12T08:11:04Z,5704,$3.86,$3.70
2024-12-12T08:11:04Z,5704,$3.86,$3.70
2024-12-12T12:11:07Z,5746,$3.82,$3.66
2024-12-12T12:11:07Z,5746,$3.82,$3.66
2024-12-12T16:11:09Z,5790,$3.87,$3.71
2024-12-12T16:11:09Z,5790,$3.87,$3.71
2024-12-12T18:10:18Z,5748,$4.07,$3.90
2024-12-12T18:10:46Z,5748,$4.07,$3.90
2024-12-12T22:10:20Z,5789,$4.07,$3.90
2024-12-12T22:10:48Z,5789,$4.07,$3.90
2024-12-13T02:10:22Z,6000,$3.84,$3.68
2024-12-13T02:10:49Z,6000,$3.84,$3.68
2024-12-13T06:10:24Z,6184,$4.02,$3.85
2024-12-13T06:10:51Z,6184,$4.02,$3.85
2024-12-13T10:10:26Z,5919,$3.80,$3.64
2024-12-13T10:10:52Z,5919,$3.80,$3.64
2024-12-13T14:10:29Z,5835,$4.07,$3.90
2024-12-13T14:10:53Z,5835,$4.07,$3.90
2024-12-13T18:10:32Z,5549,$4.03,$3.86
2024-12-13T18:10:55Z,5549,$4.03,$3.86
2024-12-13T18:49:41Z,5513,$4.07,$3.90
2024-12-13T18:49:43Z,5513,$4.07,$3.90
2024-12-13T22:49:47Z,5354,$4.09,$3.92
2024-12-13T22:49:47Z,5354,$4.09,$3.92
2024-12-14T02:49:49Z,5281,$4.07,$3.90
2024-12-14T02:49:49Z,5281,$4.07,$3.90
2024-12-14T06:49:51Z,5181,$3.98,$3.81
2024-12-14T06:49:51Z,5181,$3.98,$3.81
2024-12-14T10:49:53Z,5233,$3.92,$3.75
2024-12-14T10:49:53Z,5233,$3.92,$3.75
2024-12-14T14:49:56Z,5186,$3.95,$3.78
2024-12-14T14:49:56Z,5186,$3.95,$3.78
2024-12-14T18:49:58Z,5205,$4.07,$3.90
2024-12-14T18:49:58Z,5205,$4.07,$3.90
2024-12-14T22:50:00Z,5275,$3.99,$3.82
2024-12-14T22:50:00Z,5275,$3.99,$3.82
2024-12-15T02:50:02Z,4892,$4.17,$3.99
2024-12-15T02:50:02Z,4892,$4.17,$3.99
2024-12-15T06:50:04Z,4761,$4.19,$4.01
2024-12-15T06:50:04Z,4761,$4.19,$4.01
2024-12-15T10:50:06Z,4784,$4.15,$3.97
2024-12-15T10:50:07Z,4784,$4.15,$3.97
2024-12-15T13:32:29Z,4888,$3.87,$3.71
2024-12-15T13:32:30Z,4888,$3.87,$3.71
2024-12-15T13:55:53Z,4921,$4.02,$3.85
2024-12-15T13:55:56Z,4921,$4.02,$3.85
2024-12-15T17:55:59Z,4970,$4.08,$3.91
2024-12-15T17:55:59Z,4970,$4.08,$3.91
2024-12-15T21:56:01Z,5151,$3.88,$3.72
2024-12-15T21:56:01Z,5151,$3.88,$3.72
2024-12-16T01:56:03Z,4776,$4.20,$4.02
2024-12-16T01:56:03Z,4776,$4.20,$4.02
2024-12-16T05:56:05Z,4790,$4.15,$3.97
2024-12-16T05:56:05Z,4790,$4.15,$3.97
2024-12-16T09:56:07Z,4804,$3.86,$3.70
2024-12-16T09:56:07Z,4804,$3.86,$3.70
2024-12-16T13:56:10Z,4936,$3.86,$3.70
2024-12-16T13:56:10Z,4936,$3.86,$3.70
2024-12-16T17:56:12Z,5046,$3.84,$3.68
2024-12-16T17:56:12Z,5046,$3.84,$3.68
2024-12-16T21:56:14Z,5422,$4.07,$3.90
2024-12-16T21:56:14Z,5422,$4.07,$3.90
2024-12-17T01:56:16Z,4990,$4.18,$4.00
2024-12-17T02:14:53Z,5000,$4.15,$3.97
2024-12-17T02:14:54Z,5000,$4.15,$3.97
2024-12-17T02:17:25Z,5000,$4.15,$3.97
2024-12-17T02:17:26Z,5000,$4.15,$3.97
2024-12-17T02:20:48Z,4997,$4.18,$4.00
2024-12-17T02:20:48Z,4997,$4.18,$4.00
2024-12-17T02:20:59Z,4997,$4.18,$4.00
2024-12-17T02:21:00Z,4997,$4.18,$4.00
2024-12-17T02:28:18Z,4977,$4.18,$4.00
2024-12-17T02:28:18Z,4977,$4.18,$4.00
2024-12-17T06:28:20Z,5011,$3.83,$3.67
2024-12-17T06:28:20Z,5011,$3.83,$3.67
2024-12-17T10:28:22Z,4971,$4.04,$3.87
2024-12-17T10:28:22Z,4971,$4.04,$3.87
2024-12-17T14:28:24Z,4984,$3.82,$3.66
2024-12-17T14:28:24Z,4984,$3.82,$3.66
2024-12-17T18:28:26Z,5007,$3.99,$3.82
2024-12-17T18:28:27Z,5007,$3.99,$3.82
2024-12-17T22:28:28Z,5344,$3.87,$3.71
2024-12-17T22:28:28Z,5344,$3.87,$3.71
2024-12-18T02:28:32Z,5349,$3.97,$3.80
2024-12-18T02:28:32Z,5349,$3.97,$3.80
2024-12-18T02:28:32Z,5349,$3.97,$3.80
2024-12-18T06:28:34Z,5332,$4.17,$3.99
2024-12-18T06:28:34Z,5332,$4.17,$3.99
2024-12-18T10:28:36Z,5263,$4.15,$3.97
2024-12-18T10:28:36Z,5263,$4.15,$3.97
2024-12-18T14:28:39Z,5339,$3.79,$3.63
2024-12-18T14:28:39Z,5339,$3.79,$3.63
2024-12-18T18:28:42Z,5475,$3.79,$3.63
2024-12-18T18:28:42Z,5475,$3.79,$3.63
2024-12-18T22:28:44Z,5422,$4.10,$3.93
2024-12-18T22:28:44Z,5422,$4.10,$3.93
2024-12-19T02:28:46Z,5363,$3.79,$3.63
2024-12-19T02:28:46Z,5363,$3.79,$3.63
2024-12-19T06:28:47Z,5339,$4.00,$3.83
2024-12-19T06:28:47Z,5339,$4.00,$3.83
2024-12-19T10:28:49Z,5652,$3.83,$3.67
2024-12-19T10:28:49Z,5652,$3.83,$3.67
2024-12-19T14:28:52Z,5799,$3.88,$3.72
2024-12-19T14:28:52Z,5799,$3.88,$3.72
2024-12-19T14:28:53Z,5799,$3.88,$3.72
2024-12-19T18:28:54Z,5589,$3.79,$3.63
2024-12-19T18:28:54Z,5589,$3.79,$3.63
2024-12-19T22:28:56Z,5757,$3.70,$3.54
2024-12-19T22:28:56Z,5757,$3.70,$3.54
2024-12-20T06:35:54Z,5614,$3.99,$3.82
2024-12-20T06:35:53Z,5614,$3.99,$3.82
2024-12-20T10:35:55Z,5645,$3.88,$3.72
2024-12-20T10:35:55Z,5645,$3.88,$3.72
2024-12-20T14:36:00Z,5659,$3.94,$3.77
2024-12-20T14:36:01Z,5659,$3.94,$3.77
2024-12-20T14:38:46Z,5659,$3.94,$3.77
2024-12-20T16:38:49Z,5717,$3.92,$3.75
2024-12-20T18:36:03Z,5657,$3.81,$3.65
2024-12-20T18:38:51Z,5657,$3.81,$3.65
2024-12-20T19:42:00Z,5703,$3.96,$3.79
2024-12-20T19:42:01Z,5703,$3.96,$3.79
2024-12-20T19:46:39Z,5700,$3.79,$3.63
2024-12-20T19:46:39Z,5700,$3.79,$3.63
2024-12-20T21:46:42Z,5721,$3.94,$3.77
2024-12-20T21:46:42Z,5721,$3.94,$3.77
2024-12-20T23:46:45Z,5594,$3.94,$3.77
2024-12-20T23:46:45Z,5594,$3.94,$3.77
2024-12-21T01:46:46Z,5462,$3.82,$3.66
2024-12-21T01:46:47Z,5462,$3.82,$3.66
2024-12-21T03:46:48Z,5469,$4.08,$3.91
2024-12-21T03:46:49Z,5469,$4.08,$3.91
2024-12-21T05:46:51Z,5479,$4.03,$3.86
2024-12-21T05:46:51Z,5481,$4.00,$3.83
2024-12-21T07:46:52Z,5484,$3.80,$3.64
2024-12-21T07:46:52Z,5484,$3.80,$3.64
2024-12-21T09:46:55Z,5578,$3.75,$3.59
2024-12-21T09:46:56Z,5578,$3.75,$3.59
2024-12-21T11:46:58Z,5692,$3.75,$3.59
2024-12-21T17:47:05Z,5951,$3.75,$3.59
2024-12-21T19:47:08Z,5977,$3.73,$3.57
2024-12-21T19:47:08Z,5977,$3.73,$3.57
2024-12-21T21:47:10Z,5960,$3.84,$3.68
2024-12-21T21:47:10Z,5960,$3.84,$3.68
2024-12-21T23:47:12Z,5984,$3.95,$3.78
2024-12-21T23:47:13Z,5984,$3.95,$3.78
2024-12-22T01:47:14Z,5947,$3.99,$3.82
2024-12-22T01:47:15Z,5947,$3.99,$3.82
2024-12-22T03:47:16Z,5801,$4.06,$3.89
2024-12-22T03:47:16Z,5801,$4.06,$3.89
2024-12-22T05:47:18Z,5596,$4.10,$3.93
2024-12-22T05:47:18Z,5596,$4.10,$3.93
2024-12-22T07:47:20Z,5488,$3.94,$3.77
2024-12-22T07:47:20Z,5488,$3.94,$3.77
2024-12-22T07:47:20Z,5488,$3.94,$3.77
2024-12-22T09:47:22Z,5563,$3.80,$3.64
2024-12-22T09:47:22Z,5563,$3.80,$3.64
2024-12-22T11:47:25Z,5595,$3.98,$3.81
2024-12-22T11:47:25Z,5595,$3.98,$3.81
2024-12-22T13:47:29Z,5695,$3.76,$3.60
2024-12-22T15:47:35Z,5708,$3.84,$3.68
2024-12-22T15:47:35Z,5708,$3.84,$3.68
2024-12-22T17:47:38Z,5809,$3.84,$3.68
2024-12-22T17:47:38Z,5806,$3.85,$3.69
