Date,Listings,Sell Price,Buy Price
2024-12-11T01:15:57Z,922,$7.52,$7.20
2024-12-11T12:47:15Z,910,$7.05,$6.75
2024-12-11T13:38:59Z,908,$7.27,$6.96
2024-12-11T13:38:59Z,908,$7.27,$6.96
2024-12-11T13:39:24Z,908,$7.27,$6.96
2024-12-11T13:39:58Z,908,$7.27,$6.96
2024-12-11T13:40:04Z,908,$7.27,$6.96
2024-12-11T13:46:56Z,910,$7.26,$6.95
2024-12-11T13:46:59Z,910,$7.26,$6.95
2024-12-11T13:47:43Z,910,$7.26,$6.95
2024-12-11T13:50:04Z,910,$7.26,$6.95
2024-12-11T13:50:04Z,910,$7.26,$6.95
2024-12-11T13:52:56Z,910,$7.26,$6.95
2024-12-11T13:53:01Z,910,$7.26,$6.95
2024-12-11T13:53:49Z,910,$7.26,$6.95
2024-12-11T13:54:08Z,910,$7.26,$6.95
2024-12-11T14:36:06Z,906,$7.42,$7.10
2024-12-11T14:36:06Z,906,$7.42,$7.10
2024-12-11T14:39:03Z,906,$7.42,$7.10
2024-12-11T14:39:04Z,906,$7.42,$7.10
2024-12-11T14:43:24Z,910,$7.42,$7.10
2024-12-11T14:43:24Z,910,$7.42,$7.10
2024-12-11T14:48:52Z,913,$7.42,$7.10
2024-12-11T14:48:53Z,913,$7.42,$7.10
2024-12-11T14:58:41Z,915,$7.41,$7.09
2024-12-11T14:58:41Z,915,$7.41,$7.09
2024-12-11T16:10:56Z,917,$7.43,$7.11
2024-12-11T16:10:56Z,917,$7.43,$7.11
2024-12-11T20:10:58Z,912,$7.26,$6.95
2024-12-11T20:10:59Z,912,$7.26,$6.95
2024-12-12T00:11:01Z,910,$7.44,$7.12
2024-12-12T00:11:01Z,910,$7.44,$7.12
2024-12-12T04:11:03Z,908,$7.50,$7.18
2024-12-12T04:11:03Z,908,$7.50,$7.18
2024-12-12T08:11:04Z,894,$7.76,$7.43
2024-12-12T08:11:04Z,894,$7.76,$7.43
2024-12-12T12:11:07Z,894,$7.36,$7.04
2024-12-12T12:11:07Z,894,$7.36,$7.04
2024-12-12T16:11:09Z,898,$7.29,$6.98
2024-12-12T16:11:09Z,898,$7.29,$6.98
2024-12-12T18:10:18Z,911,$7.28,$6.97
2024-12-12T18:10:46Z,911,$7.28,$6.97
2024-12-12T22:10:20Z,879,$7.30,$6.99
2024-12-12T22:10:48Z,879,$7.30,$6.99
2024-12-13T02:10:22Z,877,$7.50,$7.18
2024-12-13T02:10:49Z,877,$7.50,$7.18
2024-12-13T06:10:24Z,878,$7.30,$6.99
2024-12-13T06:10:51Z,878,$7.30,$6.99
2024-12-13T10:10:26Z,877,$7.82,$7.48
2024-12-13T10:10:52Z,877,$7.82,$7.48
2024-12-13T14:10:29Z,897,$7.22,$6.91
2024-12-13T14:10:53Z,897,$7.22,$6.91
2024-12-13T18:10:32Z,893,$7.25,$6.94
2024-12-13T18:10:55Z,893,$7.25,$6.94
2024-12-13T18:49:41Z,893,$7.29,$6.98
2024-12-13T18:49:43Z,893,$7.29,$6.98
2024-12-13T22:49:47Z,841,$7.73,$7.40
2024-12-13T22:49:47Z,841,$7.73,$7.40
2024-12-14T02:49:49Z,822,$7.33,$7.02
2024-12-14T02:49:49Z,822,$7.33,$7.02
